step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
347,PAYMENT,401.12,SYNTH_ATOLS_0000000,5046.67,4645.55,SYNTH_ATOLSSINK_0000000,0.0,401.12,1,0,ato_lowandslow_exfiltration,1
366,PAYMENT,435.16,SYNTH_ATOLS_0000000,4645.55,4210.39,SYNTH_ATOLSSINK_0000000,0.0,435.16,1,0,ato_lowandslow_exfiltration,1
387,PAYMENT,411.37,SYNTH_ATOLS_0000000,4210.39,3799.02,SYNTH_ATOLSSINK_0000000,0.0,411.37,1,0,ato_lowandslow_exfiltration,1
405,PAYMENT,394.35,SYNTH_ATOLS_0000000,3799.02,3404.67,SYNTH_ATOLSSINK_0000000,0.0,394.35,1,0,ato_lowandslow_exfiltration,1
185,PAYMENT,211.07,SYNTH_ATOLS_0000001,16229.6,16018.53,SYNTH_ATOLSSINK_0000001,0.0,211.07,1,0,ato_lowandslow_exfiltration,1
209,PAYMENT,232.83,SYNTH_ATOLS_0000001,16018.53,15785.7,SYNTH_ATOLSSINK_0000001,0.0,232.83,1,0,ato_lowandslow_exfiltration,1
234,PAYMENT,208.2,SYNTH_ATOLS_0000001,15785.7,15577.5,SYNTH_ATOLSSINK_0000001,0.0,208.2,1,0,ato_lowandslow_exfiltration,1
255,PAYMENT,232.54,SYNTH_ATOLS_0000001,15577.5,15344.96,SYNTH_ATOLSSINK_0000001,0.0,232.54,1,0,ato_lowandslow_exfiltration,1
280,PAYMENT,225.51,SYNTH_ATOLS_0000001,15344.96,15119.45,SYNTH_ATOLSSINK_0000001,0.0,225.51,1,0,ato_lowandslow_exfiltration,1
303,PAYMENT,195.58,SYNTH_ATOLS_0000001,15119.45,14923.87,SYNTH_ATOLSSINK_0000001,0.0,195.58,1,0,ato_lowandslow_exfiltration,1
324,PAYMENT,199.09,SYNTH_ATOLS_0000001,14923.87,14724.78,SYNTH_ATOLSSINK_0000001,0.0,199.09,1,0,ato_lowandslow_exfiltration,1
214,PAYMENT,288.37,SYNTH_ATOLS_0000002,3555.06,3266.69,SYNTH_ATOLSSINK_0000002,0.0,288.37,1,0,ato_lowandslow_exfiltration,1
228,PAYMENT,286.16,SYNTH_ATOLS_0000002,3266.69,2980.53,SYNTH_ATOLSSINK_0000002,0.0,286.16,1,0,ato_lowandslow_exfiltration,1
243,PAYMENT,322.79,SYNTH_ATOLS_0000002,2980.53,2657.74,SYNTH_ATOLSSINK_0000002,0.0,322.79,1,0,ato_lowandslow_exfiltration,1
260,PAYMENT,338.67,SYNTH_ATOLS_0000002,2657.74,2319.07,SYNTH_ATOLSSINK_0000002,0.0,338.67,1,0,ato_lowandslow_exfiltration,1
271,PAYMENT,296.26,SYNTH_ATOLS_0000002,2319.07,2022.81,SYNTH_ATOLSSINK_0000002,0.0,296.26,1,0,ato_lowandslow_exfiltration,1
286,PAYMENT,317.28,SYNTH_ATOLS_0000002,2022.81,1705.53,SYNTH_ATOLSSINK_0000002,0.0,317.28,1,0,ato_lowandslow_exfiltration,1
543,PAYMENT,104.62,SYNTH_ATOLS_0000003,3417.72,3313.1,SYNTH_ATOLSSINK_0000003,0.0,104.62,1,0,ato_lowandslow_exfiltration,1
580,PAYMENT,87.0,SYNTH_ATOLS_0000003,3313.1,3226.1,SYNTH_ATOLSSINK_0000003,0.0,87.0,1,0,ato_lowandslow_exfiltration,1
615,PAYMENT,95.32,SYNTH_ATOLS_0000003,3226.1,3130.78,SYNTH_ATOLSSINK_0000003,0.0,95.32,1,0,ato_lowandslow_exfiltration,1
648,PAYMENT,95.36,SYNTH_ATOLS_0000003,3130.78,3035.42,SYNTH_ATOLSSINK_0000003,0.0,95.36,1,0,ato_lowandslow_exfiltration,1
685,PAYMENT,95.43,SYNTH_ATOLS_0000003,3035.42,2939.99,SYNTH_ATOLSSINK_0000003,0.0,95.43,1,0,ato_lowandslow_exfiltration,1
423,PAYMENT,242.79,SYNTH_ATOLS_0000004,2788.4,2545.61,SYNTH_ATOLSSINK_0000004,0.0,242.79,1,0,ato_lowandslow_exfiltration,1
449,PAYMENT,264.92,SYNTH_ATOLS_0000004,2545.61,2280.69,SYNTH_ATOLSSINK_0000004,0.0,264.92,1,0,ato_lowandslow_exfiltration,1
474,PAYMENT,252.21,SYNTH_ATOLS_0000004,2280.69,2028.48,SYNTH_ATOLSSINK_0000004,0.0,252.21,1,0,ato_lowandslow_exfiltration,1
496,PAYMENT,254.75,SYNTH_ATOLS_0000004,2028.48,1773.73,SYNTH_ATOLSSINK_0000004,0.0,254.75,1,0,ato_lowandslow_exfiltration,1
353,PAYMENT,193.99,SYNTH_ATOLS_0000005,1856.3,1662.31,SYNTH_ATOLSSINK_0000005,0.0,193.99,1,0,ato_lowandslow_exfiltration,1
368,PAYMENT,195.33,SYNTH_ATOLS_0000005,1662.31,1466.98,SYNTH_ATOLSSINK_0000005,0.0,195.33,1,0,ato_lowandslow_exfiltration,1
384,PAYMENT,223.31,SYNTH_ATOLS_0000005,1466.98,1243.67,SYNTH_ATOLSSINK_0000005,0.0,223.31,1,0,ato_lowandslow_exfiltration,1
399,PAYMENT,206.56,SYNTH_ATOLS_0000005,1243.67,1037.11,SYNTH_ATOLSSINK_0000005,0.0,206.56,1,0,ato_lowandslow_exfiltration,1
414,PAYMENT,222.07,SYNTH_ATOLS_0000005,1037.11,815.04,SYNTH_ATOLSSINK_0000005,0.0,222.07,1,0,ato_lowandslow_exfiltration,1
429,PAYMENT,195.74,SYNTH_ATOLS_0000005,815.04,619.3,SYNTH_ATOLSSINK_0000005,0.0,195.74,1,0,ato_lowandslow_exfiltration,1
441,PAYMENT,213.24,SYNTH_ATOLS_0000005,619.3,406.06,SYNTH_ATOLSSINK_0000005,0.0,213.24,1,0,ato_lowandslow_exfiltration,1
428,PAYMENT,233.53,SYNTH_ATOLS_0000006,5798.09,5564.56,SYNTH_ATOLSSINK_0000006,0.0,233.53,1,0,ato_lowandslow_exfiltration,1
455,PAYMENT,206.16,SYNTH_ATOLS_0000006,5564.56,5358.4,SYNTH_ATOLSSINK_0000006,0.0,206.16,1,0,ato_lowandslow_exfiltration,1
480,PAYMENT,200.66,SYNTH_ATOLS_0000006,5358.4,5157.74,SYNTH_ATOLSSINK_0000006,0.0,200.66,1,0,ato_lowandslow_exfiltration,1
509,PAYMENT,213.15,SYNTH_ATOLS_0000006,5157.74,4944.59,SYNTH_ATOLSSINK_0000006,0.0,213.15,1,0,ato_lowandslow_exfiltration,1
267,PAYMENT,250.33,SYNTH_ATOLS_0000007,3329.33,3079.0,SYNTH_ATOLSSINK_0000007,0.0,250.33,1,0,ato_lowandslow_exfiltration,1
299,PAYMENT,268.09,SYNTH_ATOLS_0000007,3079.0,2810.91,SYNTH_ATOLSSINK_0000007,0.0,268.09,1,0,ato_lowandslow_exfiltration,1
327,PAYMENT,247.6,SYNTH_ATOLS_0000007,2810.91,2563.31,SYNTH_ATOLSSINK_0000007,0.0,247.6,1,0,ato_lowandslow_exfiltration,1
355,PAYMENT,256.99,SYNTH_ATOLS_0000007,2563.31,2306.32,SYNTH_ATOLSSINK_0000007,0.0,256.99,1,0,ato_lowandslow_exfiltration,1
384,PAYMENT,256.2,SYNTH_ATOLS_0000007,2306.32,2050.12,SYNTH_ATOLSSINK_0000007,0.0,256.2,1,0,ato_lowandslow_exfiltration,1
412,PAYMENT,253.1,SYNTH_ATOLS_0000007,2050.12,1797.02,SYNTH_ATOLSSINK_0000007,0.0,253.1,1,0,ato_lowandslow_exfiltration,1
443,PAYMENT,252.6,SYNTH_ATOLS_0000007,1797.02,1544.42,SYNTH_ATOLSSINK_0000007,0.0,252.6,1,0,ato_lowandslow_exfiltration,1
21,PAYMENT,303.38,SYNTH_ATOLS_0000008,9390.69,9087.31,SYNTH_ATOLSSINK_0000008,0.0,303.38,1,0,ato_lowandslow_exfiltration,1
57,PAYMENT,306.52,SYNTH_ATOLS_0000008,9087.31,8780.79,SYNTH_ATOLSSINK_0000008,0.0,306.52,1,0,ato_lowandslow_exfiltration,1
95,PAYMENT,316.36,SYNTH_ATOLS_0000008,8780.79,8464.43,SYNTH_ATOLSSINK_0000008,0.0,316.36,1,0,ato_lowandslow_exfiltration,1
132,PAYMENT,313.35,SYNTH_ATOLS_0000008,8464.43,8151.08,SYNTH_ATOLSSINK_0000008,0.0,313.35,1,0,ato_lowandslow_exfiltration,1
173,PAYMENT,315.72,SYNTH_ATOLS_0000008,8151.08,7835.36,SYNTH_ATOLSSINK_0000008,0.0,315.72,1,0,ato_lowandslow_exfiltration,1
291,PAYMENT,238.42,SYNTH_ATOLS_0000009,6347.83,6109.41,SYNTH_ATOLSSINK_0000009,0.0,238.42,1,0,ato_lowandslow_exfiltration,1
324,PAYMENT,224.52,SYNTH_ATOLS_0000009,6109.41,5884.89,SYNTH_ATOLSSINK_0000009,0.0,224.52,1,0,ato_lowandslow_exfiltration,1
360,PAYMENT,228.43,SYNTH_ATOLS_0000009,5884.89,5656.46,SYNTH_ATOLSSINK_0000009,0.0,228.43,1,0,ato_lowandslow_exfiltration,1
394,PAYMENT,230.98,SYNTH_ATOLS_0000009,5656.46,5425.48,SYNTH_ATOLSSINK_0000009,0.0,230.98,1,0,ato_lowandslow_exfiltration,1
430,PAYMENT,234.79,SYNTH_ATOLS_0000009,5425.48,5190.69,SYNTH_ATOLSSINK_0000009,0.0,234.79,1,0,ato_lowandslow_exfiltration,1
