step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
68,TRANSFER,56877.4,SYNTH_ATO_0000000,77007.22,20129.82,SYNTH_ATOSINK_0000000,0.0,56877.4,1,0,ato_rapid_drain,1
69,TRANSFER,15126.92,SYNTH_ATO_0000000,20129.82,5002.9,SYNTH_ATOSINK_0000000,0.0,15126.92,1,0,ato_rapid_drain,1
574,TRANSFER,60756.02,SYNTH_ATO_0000001,90403.2,29647.18,SYNTH_ATOSINK_0000001,0.0,60756.02,1,0,ato_rapid_drain,1
575,TRANSFER,16823.85,SYNTH_ATO_0000001,29647.18,12823.33,SYNTH_ATOSINK_0000001,0.0,16823.85,1,0,ato_rapid_drain,1
576,TRANSFER,10660.52,SYNTH_ATO_0000001,12823.33,2162.81,SYNTH_ATOSINK_0000001,0.0,10660.52,1,0,ato_rapid_drain,1
482,TRANSFER,69481.45,SYNTH_ATO_0000002,79683.61,10202.16,SYNTH_ATOSINK_0000002,0.0,69481.45,1,0,ato_rapid_drain,1
483,TRANSFER,8448.74,SYNTH_ATO_0000002,10202.16,1753.43,SYNTH_ATOSINK_0000002,0.0,8448.74,1,0,ato_rapid_drain,1
329,TRANSFER,44174.25,SYNTH_ATO_0000003,112384.14,68209.89,SYNTH_ATOSINK_0000003,0.0,44174.25,1,0,ato_rapid_drain,1
330,TRANSFER,43096.94,SYNTH_ATO_0000003,68209.89,25112.96,SYNTH_ATOSINK_0000003,0.0,43096.94,1,0,ato_rapid_drain,1
331,TRANSFER,12466.33,SYNTH_ATO_0000003,25112.96,12646.62,SYNTH_ATOSINK_0000003,0.0,12466.33,1,0,ato_rapid_drain,1
322,TRANSFER,176514.56,SYNTH_ATO_0000004,344816.67,168302.11,SYNTH_ATOSINK_0000004,0.0,176514.56,1,0,ato_rapid_drain,1
323,TRANSFER,149470.97,SYNTH_ATO_0000004,168302.11,18831.14,SYNTH_ATOSINK_0000004,0.0,149470.97,1,0,ato_rapid_drain,1
632,TRANSFER,9287.79,SYNTH_ATO_0000005,11140.48,1852.68,SYNTH_ATOSINK_0000005,0.0,9287.79,1,0,ato_rapid_drain,1
633,TRANSFER,1267.78,SYNTH_ATO_0000005,1852.68,584.9,SYNTH_ATOSINK_0000005,0.0,1267.78,1,0,ato_rapid_drain,1
65,TRANSFER,32880.5,SYNTH_ATO_0000006,80714.8,47834.3,SYNTH_ATOSINK_0000006,0.0,32880.5,1,0,ato_rapid_drain,1
66,TRANSFER,21062.01,SYNTH_ATO_0000006,47834.3,26772.29,SYNTH_ATOSINK_0000006,0.0,21062.01,1,0,ato_rapid_drain,1
67,TRANSFER,18300.79,SYNTH_ATO_0000006,26772.29,8471.5,SYNTH_ATOSINK_0000006,0.0,18300.79,1,0,ato_rapid_drain,1
517,TRANSFER,86732.93,SYNTH_ATO_0000007,114695.44,27962.51,SYNTH_ATOSINK_0000007,0.0,86732.93,1,0,ato_rapid_drain,1
518,TRANSFER,12605.14,SYNTH_ATO_0000007,27962.51,15357.37,SYNTH_ATOSINK_0000007,0.0,12605.14,1,0,ato_rapid_drain,1
150,TRANSFER,85637.06,SYNTH_ATO_0000008,126955.88,41318.81,SYNTH_ATOSINK_0000008,0.0,85637.06,1,0,ato_rapid_drain,1
151,TRANSFER,16757.66,SYNTH_ATO_0000008,41318.81,24561.15,SYNTH_ATOSINK_0000008,0.0,16757.66,1,0,ato_rapid_drain,1
152,TRANSFER,6193.57,SYNTH_ATO_0000008,24561.15,18367.58,SYNTH_ATOSINK_0000008,0.0,6193.57,1,0,ato_rapid_drain,1
70,TRANSFER,52322.76,SYNTH_ATO_0000009,71960.5,19637.74,SYNTH_ATOSINK_0000009,0.0,52322.76,1,0,ato_rapid_drain,1
71,TRANSFER,10149.65,SYNTH_ATO_0000009,19637.74,9488.08,SYNTH_ATOSINK_0000009,0.0,10149.65,1,0,ato_rapid_drain,1
72,TRANSFER,5965.95,SYNTH_ATO_0000009,9488.08,3522.13,SYNTH_ATOSINK_0000009,0.0,5965.95,1,0,ato_rapid_drain,1
391,TRANSFER,14592.59,SYNTH_ATO_0000010,22176.46,7583.87,SYNTH_ATOSINK_0000010,0.0,14592.59,1,0,ato_rapid_drain,1
392,TRANSFER,5669.17,SYNTH_ATO_0000010,7583.87,1914.69,SYNTH_ATOSINK_0000010,0.0,5669.17,1,0,ato_rapid_drain,1
723,TRANSFER,98463.35,SYNTH_ATO_0000011,130456.64,31993.29,SYNTH_ATOSINK_0000011,0.0,98463.35,1,0,ato_rapid_drain,1
724,TRANSFER,29138.93,SYNTH_ATO_0000011,31993.29,2854.36,SYNTH_ATOSINK_0000011,0.0,29138.93,1,0,ato_rapid_drain,1
542,TRANSFER,208477.46,SYNTH_ATO_0000012,428586.42,220108.96,SYNTH_ATOSINK_0000012,0.0,208477.46,1,0,ato_rapid_drain,1
543,TRANSFER,122378.32,SYNTH_ATO_0000012,220108.96,97730.64,SYNTH_ATOSINK_0000012,0.0,122378.32,1,0,ato_rapid_drain,1
544,TRANSFER,59349.25,SYNTH_ATO_0000012,97730.64,38381.39,SYNTH_ATOSINK_0000012,0.0,59349.25,1,0,ato_rapid_drain,1
562,TRANSFER,11126.29,SYNTH_ATO_0000013,26801.63,15675.33,SYNTH_ATOSINK_0000013,0.0,11126.29,1,0,ato_rapid_drain,1
563,TRANSFER,8906.58,SYNTH_ATO_0000013,15675.33,6768.75,SYNTH_ATOSINK_0000013,0.0,8906.58,1,0,ato_rapid_drain,1
564,TRANSFER,6155.78,SYNTH_ATO_0000013,6768.75,612.97,SYNTH_ATOSINK_0000013,0.0,6155.78,1,0,ato_rapid_drain,1
530,TRANSFER,106650.88,SYNTH_ATO_0000014,205716.4,99065.52,SYNTH_ATOSINK_0000014,0.0,106650.88,1,0,ato_rapid_drain,1
531,TRANSFER,79214.89,SYNTH_ATO_0000014,99065.52,19850.63,SYNTH_ATOSINK_0000014,0.0,79214.89,1,0,ato_rapid_drain,1
582,TRANSFER,39095.97,SYNTH_ATO_0000015,74664.02,35568.05,SYNTH_ATOSINK_0000015,0.0,39095.97,1,0,ato_rapid_drain,1
583,TRANSFER,22472.12,SYNTH_ATO_0000015,35568.05,13095.92,SYNTH_ATOSINK_0000015,0.0,22472.12,1,0,ato_rapid_drain,1
584,TRANSFER,9600.06,SYNTH_ATO_0000015,13095.92,3495.87,SYNTH_ATOSINK_0000015,0.0,9600.06,1,0,ato_rapid_drain,1
382,TRANSFER,74412.92,SYNTH_ATO_0000016,93701.95,19289.03,SYNTH_ATOSINK_0000016,0.0,74412.92,1,0,ato_rapid_drain,1
383,TRANSFER,6266.94,SYNTH_ATO_0000016,19289.03,13022.09,SYNTH_ATOSINK_0000016,0.0,6266.94,1,0,ato_rapid_drain,1
99,TRANSFER,24383.97,SYNTH_ATO_0000017,40337.48,15953.5,SYNTH_ATOSINK_0000017,0.0,24383.97,1,0,ato_rapid_drain,1
100,TRANSFER,12815.65,SYNTH_ATO_0000017,15953.5,3137.85,SYNTH_ATOSINK_0000017,0.0,12815.65,1,0,ato_rapid_drain,1
624,TRANSFER,57050.67,SYNTH_ATO_0000018,74288.56,17237.89,SYNTH_ATOSINK_0000018,0.0,57050.67,1,0,ato_rapid_drain,1
625,TRANSFER,13840.51,SYNTH_ATO_0000018,17237.89,3397.38,SYNTH_ATOSINK_0000018,0.0,13840.51,1,0,ato_rapid_drain,1
336,TRANSFER,232976.12,SYNTH_ATO_0000019,298056.37,65080.25,SYNTH_ATOSINK_0000019,0.0,232976.12,1,0,ato_rapid_drain,1
337,TRANSFER,56201.51,SYNTH_ATO_0000019,65080.25,8878.74,SYNTH_ATOSINK_0000019,0.0,56201.51,1,0,ato_rapid_drain,1
370,TRANSFER,79989.77,SYNTH_ATO_0000020,161984.67,81994.9,SYNTH_ATOSINK_0000020,0.0,79989.77,1,0,ato_rapid_drain,1
371,TRANSFER,39326.23,SYNTH_ATO_0000020,81994.9,42668.66,SYNTH_ATOSINK_0000020,0.0,39326.23,1,0,ato_rapid_drain,1
372,TRANSFER,35692.93,SYNTH_ATO_0000020,42668.66,6975.74,SYNTH_ATOSINK_0000020,0.0,35692.93,1,0,ato_rapid_drain,1
273,TRANSFER,205975.66,SYNTH_ATO_0000021,430397.67,224422.01,SYNTH_ATOSINK_0000021,0.0,205975.66,1,0,ato_rapid_drain,1
274,TRANSFER,159349.29,SYNTH_ATO_0000021,224422.01,65072.72,SYNTH_ATOSINK_0000021,0.0,159349.29,1,0,ato_rapid_drain,1
275,TRANSFER,2581.64,SYNTH_ATO_0000021,65072.72,62491.07,SYNTH_ATOSINK_0000021,0.0,2581.64,1,0,ato_rapid_drain,1
138,TRANSFER,146935.09,SYNTH_ATO_0000022,268552.07,121616.98,SYNTH_ATOSINK_0000022,0.0,146935.09,1,0,ato_rapid_drain,1
139,TRANSFER,75997.77,SYNTH_ATO_0000022,121616.98,45619.21,SYNTH_ATOSINK_0000022,0.0,75997.77,1,0,ato_rapid_drain,1
140,TRANSFER,18348.1,SYNTH_ATO_0000022,45619.21,27271.11,SYNTH_ATOSINK_0000022,0.0,18348.1,1,0,ato_rapid_drain,1
688,TRANSFER,117282.64,SYNTH_ATO_0000023,143375.69,26093.05,SYNTH_ATOSINK_0000023,0.0,117282.64,1,0,ato_rapid_drain,1
689,TRANSFER,5494.38,SYNTH_ATO_0000023,26093.05,20598.67,SYNTH_ATOSINK_0000023,0.0,5494.38,1,0,ato_rapid_drain,1
581,TRANSFER,205610.55,SYNTH_ATO_0000024,434670.85,229060.3,SYNTH_ATOSINK_0000024,0.0,205610.55,1,0,ato_rapid_drain,1
582,TRANSFER,105189.19,SYNTH_ATO_0000024,229060.3,123871.1,SYNTH_ATOSINK_0000024,0.0,105189.19,1,0,ato_rapid_drain,1
583,TRANSFER,64845.71,SYNTH_ATO_0000024,123871.1,59025.39,SYNTH_ATOSINK_0000024,0.0,64845.71,1,0,ato_rapid_drain,1
475,TRANSFER,51215.26,SYNTH_ATO_0000025,143364.29,92149.03,SYNTH_ATOSINK_0000025,0.0,51215.26,1,0,ato_rapid_drain,1
476,TRANSFER,46800.39,SYNTH_ATO_0000025,92149.03,45348.64,SYNTH_ATOSINK_0000025,0.0,46800.39,1,0,ato_rapid_drain,1
477,TRANSFER,36429.91,SYNTH_ATO_0000025,45348.64,8918.73,SYNTH_ATOSINK_0000025,0.0,36429.91,1,0,ato_rapid_drain,1
298,TRANSFER,166925.92,SYNTH_ATO_0000026,199543.98,32618.06,SYNTH_ATOSINK_0000026,0.0,166925.92,1,0,ato_rapid_drain,1
299,TRANSFER,19345.41,SYNTH_ATO_0000026,32618.06,13272.65,SYNTH_ATOSINK_0000026,0.0,19345.41,1,0,ato_rapid_drain,1
300,TRANSFER,1843.48,SYNTH_ATO_0000026,13272.65,11429.17,SYNTH_ATOSINK_0000026,0.0,1843.48,1,0,ato_rapid_drain,1
606,TRANSFER,45255.66,SYNTH_ATO_0000027,76719.77,31464.11,SYNTH_ATOSINK_0000027,0.0,45255.66,1,0,ato_rapid_drain,1
607,TRANSFER,27672.9,SYNTH_ATO_0000027,31464.11,3791.21,SYNTH_ATOSINK_0000027,0.0,27672.9,1,0,ato_rapid_drain,1
402,TRANSFER,76125.51,SYNTH_ATO_0000028,104460.46,28334.95,SYNTH_ATOSINK_0000028,0.0,76125.51,1,0,ato_rapid_drain,1
403,TRANSFER,12814.87,SYNTH_ATO_0000028,28334.95,15520.09,SYNTH_ATOSINK_0000028,0.0,12814.87,1,0,ato_rapid_drain,1
404,TRANSFER,11603.8,SYNTH_ATO_0000028,15520.09,3916.29,SYNTH_ATOSINK_0000028,0.0,11603.8,1,0,ato_rapid_drain,1
330,TRANSFER,35460.59,SYNTH_ATO_0000029,54567.28,19106.7,SYNTH_ATOSINK_0000029,0.0,35460.59,1,0,ato_rapid_drain,1
331,TRANSFER,10292.12,SYNTH_ATO_0000029,19106.7,8814.58,SYNTH_ATOSINK_0000029,0.0,10292.12,1,0,ato_rapid_drain,1
332,TRANSFER,5874.83,SYNTH_ATO_0000029,8814.58,2939.75,SYNTH_ATOSINK_0000029,0.0,5874.83,1,0,ato_rapid_drain,1
335,TRANSFER,129919.61,SYNTH_ATO_0000030,228924.23,99004.62,SYNTH_ATOSINK_0000030,0.0,129919.61,1,0,ato_rapid_drain,1
336,TRANSFER,44775.31,SYNTH_ATO_0000030,99004.62,54229.3,SYNTH_ATOSINK_0000030,0.0,44775.31,1,0,ato_rapid_drain,1
337,TRANSFER,43724.73,SYNTH_ATO_0000030,54229.3,10504.58,SYNTH_ATOSINK_0000030,0.0,43724.73,1,0,ato_rapid_drain,1
170,TRANSFER,22998.92,SYNTH_ATO_0000031,36258.96,13260.04,SYNTH_ATOSINK_0000031,0.0,22998.92,1,0,ato_rapid_drain,1
171,TRANSFER,7253.47,SYNTH_ATO_0000031,13260.04,6006.57,SYNTH_ATOSINK_0000031,0.0,7253.47,1,0,ato_rapid_drain,1
172,TRANSFER,798.53,SYNTH_ATO_0000031,6006.57,5208.05,SYNTH_ATOSINK_0000031,0.0,798.53,1,0,ato_rapid_drain,1
69,TRANSFER,137744.42,SYNTH_ATO_0000032,191951.46,54207.04,SYNTH_ATOSINK_0000032,0.0,137744.42,1,0,ato_rapid_drain,1
70,TRANSFER,31266.84,SYNTH_ATO_0000032,54207.04,22940.2,SYNTH_ATOSINK_0000032,0.0,31266.84,1,0,ato_rapid_drain,1
413,TRANSFER,66962.07,SYNTH_ATO_0000033,83947.48,16985.41,SYNTH_ATOSINK_0000033,0.0,66962.07,1,0,ato_rapid_drain,1
414,TRANSFER,7963.07,SYNTH_ATO_0000033,16985.41,9022.34,SYNTH_ATOSINK_0000033,0.0,7963.07,1,0,ato_rapid_drain,1
415,TRANSFER,3217.09,SYNTH_ATO_0000033,9022.34,5805.24,SYNTH_ATOSINK_0000033,0.0,3217.09,1,0,ato_rapid_drain,1
656,TRANSFER,168353.63,SYNTH_ATO_0000034,267148.52,98794.89,SYNTH_ATOSINK_0000034,0.0,168353.63,1,0,ato_rapid_drain,1
657,TRANSFER,88524.71,SYNTH_ATO_0000034,98794.89,10270.18,SYNTH_ATOSINK_0000034,0.0,88524.71,1,0,ato_rapid_drain,1
51,TRANSFER,95856.13,SYNTH_ATO_0000035,186883.11,91026.99,SYNTH_ATOSINK_0000035,0.0,95856.13,1,0,ato_rapid_drain,1
52,TRANSFER,53546.09,SYNTH_ATO_0000035,91026.99,37480.9,SYNTH_ATOSINK_0000035,0.0,53546.09,1,0,ato_rapid_drain,1
53,TRANSFER,9557.76,SYNTH_ATO_0000035,37480.9,27923.14,SYNTH_ATOSINK_0000035,0.0,9557.76,1,0,ato_rapid_drain,1
637,TRANSFER,244483.87,SYNTH_ATO_0000036,463957.96,219474.09,SYNTH_ATOSINK_0000036,0.0,244483.87,1,0,ato_rapid_drain,1
638,TRANSFER,142619.0,SYNTH_ATO_0000036,219474.09,76855.09,SYNTH_ATOSINK_0000036,0.0,142619.0,1,0,ato_rapid_drain,1
639,TRANSFER,38301.03,SYNTH_ATO_0000036,76855.09,38554.07,SYNTH_ATOSINK_0000036,0.0,38301.03,1,0,ato_rapid_drain,1
611,TRANSFER,81248.91,SYNTH_ATO_0000037,183718.23,102469.32,SYNTH_ATOSINK_0000037,0.0,81248.91,1,0,ato_rapid_drain,1
612,TRANSFER,58340.78,SYNTH_ATO_0000037,102469.32,44128.54,SYNTH_ATOSINK_0000037,0.0,58340.78,1,0,ato_rapid_drain,1
613,TRANSFER,32746.71,SYNTH_ATO_0000037,44128.54,11381.83,SYNTH_ATOSINK_0000037,0.0,32746.71,1,0,ato_rapid_drain,1
205,TRANSFER,11084.62,SYNTH_ATO_0000038,25945.82,14861.2,SYNTH_ATOSINK_0000038,0.0,11084.62,1,0,ato_rapid_drain,1
206,TRANSFER,11069.19,SYNTH_ATO_0000038,14861.2,3792.01,SYNTH_ATOSINK_0000038,0.0,11069.19,1,0,ato_rapid_drain,1
470,TRANSFER,59137.93,SYNTH_ATO_0000039,93254.71,34116.78,SYNTH_ATOSINK_0000039,0.0,59137.93,1,0,ato_rapid_drain,1
471,TRANSFER,24994.25,SYNTH_ATO_0000039,34116.78,9122.53,SYNTH_ATOSINK_0000039,0.0,24994.25,1,0,ato_rapid_drain,1
125,TRANSFER,23709.27,SYNTH_ATO_0000040,36453.54,12744.27,SYNTH_ATOSINK_0000040,0.0,23709.27,1,0,ato_rapid_drain,1
126,TRANSFER,11520.62,SYNTH_ATO_0000040,12744.27,1223.65,SYNTH_ATOSINK_0000040,0.0,11520.62,1,0,ato_rapid_drain,1
559,TRANSFER,37580.24,SYNTH_ATO_0000041,63542.37,25962.12,SYNTH_ATOSINK_0000041,0.0,37580.24,1,0,ato_rapid_drain,1
560,TRANSFER,21978.63,SYNTH_ATO_0000041,25962.12,3983.49,SYNTH_ATOSINK_0000041,0.0,21978.63,1,0,ato_rapid_drain,1
519,TRANSFER,152209.59,SYNTH_ATO_0000042,356662.12,204452.53,SYNTH_ATOSINK_0000042,0.0,152209.59,1,0,ato_rapid_drain,1
520,TRANSFER,150440.34,SYNTH_ATO_0000042,204452.53,54012.18,SYNTH_ATOSINK_0000042,0.0,150440.34,1,0,ato_rapid_drain,1
521,TRANSFER,11532.15,SYNTH_ATO_0000042,54012.18,42480.03,SYNTH_ATOSINK_0000042,0.0,11532.15,1,0,ato_rapid_drain,1
264,TRANSFER,118054.82,SYNTH_ATO_0000043,169719.74,51664.92,SYNTH_ATOSINK_0000043,0.0,118054.82,1,0,ato_rapid_drain,1
265,TRANSFER,45022.35,SYNTH_ATO_0000043,51664.92,6642.57,SYNTH_ATOSINK_0000043,0.0,45022.35,1,0,ato_rapid_drain,1
55,TRANSFER,36329.26,SYNTH_ATO_0000044,54497.45,18168.18,SYNTH_ATOSINK_0000044,0.0,36329.26,1,0,ato_rapid_drain,1
56,TRANSFER,12459.25,SYNTH_ATO_0000044,18168.18,5708.93,SYNTH_ATOSINK_0000044,0.0,12459.25,1,0,ato_rapid_drain,1
716,TRANSFER,24292.19,SYNTH_ATO_0000045,41703.5,17411.3,SYNTH_ATOSINK_0000045,0.0,24292.19,1,0,ato_rapid_drain,1
717,TRANSFER,8270.28,SYNTH_ATO_0000045,17411.3,9141.02,SYNTH_ATOSINK_0000045,0.0,8270.28,1,0,ato_rapid_drain,1
718,TRANSFER,7511.87,SYNTH_ATO_0000045,9141.02,1629.16,SYNTH_ATOSINK_0000045,0.0,7511.87,1,0,ato_rapid_drain,1
334,TRANSFER,47359.64,SYNTH_ATO_0000046,101505.15,54145.5,SYNTH_ATOSINK_0000046,0.0,47359.64,1,0,ato_rapid_drain,1
335,TRANSFER,34427.3,SYNTH_ATO_0000046,54145.5,19718.2,SYNTH_ATOSINK_0000046,0.0,34427.3,1,0,ato_rapid_drain,1
336,TRANSFER,8437.19,SYNTH_ATO_0000046,19718.2,11281.01,SYNTH_ATOSINK_0000046,0.0,8437.19,1,0,ato_rapid_drain,1
663,TRANSFER,11677.36,SYNTH_ATO_0000047,35098.86,23421.49,SYNTH_ATOSINK_0000047,0.0,11677.36,1,0,ato_rapid_drain,1
664,TRANSFER,11106.14,SYNTH_ATO_0000047,23421.49,12315.35,SYNTH_ATOSINK_0000047,0.0,11106.14,1,0,ato_rapid_drain,1
665,TRANSFER,9744.07,SYNTH_ATO_0000047,12315.35,2571.29,SYNTH_ATOSINK_0000047,0.0,9744.07,1,0,ato_rapid_drain,1
500,TRANSFER,25010.86,SYNTH_ATO_0000048,55800.09,30789.23,SYNTH_ATOSINK_0000048,0.0,25010.86,1,0,ato_rapid_drain,1
501,TRANSFER,20915.61,SYNTH_ATO_0000048,30789.23,9873.62,SYNTH_ATOSINK_0000048,0.0,20915.61,1,0,ato_rapid_drain,1
502,TRANSFER,4383.01,SYNTH_ATO_0000048,9873.62,5490.61,SYNTH_ATOSINK_0000048,0.0,4383.01,1,0,ato_rapid_drain,1
573,TRANSFER,71869.41,SYNTH_ATO_0000049,128695.97,56826.56,SYNTH_ATOSINK_0000049,0.0,71869.41,1,0,ato_rapid_drain,1
574,TRANSFER,42120.12,SYNTH_ATO_0000049,56826.56,14706.44,SYNTH_ATOSINK_0000049,0.0,42120.12,1,0,ato_rapid_drain,1
563,TRANSFER,128572.0,SYNTH_ATO_0000050,263554.44,134982.44,SYNTH_ATOSINK_0000050,0.0,128572.0,1,0,ato_rapid_drain,1
564,TRANSFER,114700.15,SYNTH_ATO_0000050,134982.44,20282.29,SYNTH_ATOSINK_0000050,0.0,114700.15,1,0,ato_rapid_drain,1
565,TRANSFER,11124.42,SYNTH_ATO_0000050,20282.29,9157.86,SYNTH_ATOSINK_0000050,0.0,11124.42,1,0,ato_rapid_drain,1
144,TRANSFER,80329.03,SYNTH_ATO_0000051,165619.33,85290.3,SYNTH_ATOSINK_0000051,0.0,80329.03,1,0,ato_rapid_drain,1
145,TRANSFER,44523.73,SYNTH_ATO_0000051,85290.3,40766.57,SYNTH_ATOSINK_0000051,0.0,44523.73,1,0,ato_rapid_drain,1
146,TRANSFER,19962.66,SYNTH_ATO_0000051,40766.57,20803.91,SYNTH_ATOSINK_0000051,0.0,19962.66,1,0,ato_rapid_drain,1
269,TRANSFER,6586.63,SYNTH_ATO_0000052,14078.5,7491.86,SYNTH_ATOSINK_0000052,0.0,6586.63,1,0,ato_rapid_drain,1
270,TRANSFER,5535.31,SYNTH_ATO_0000052,7491.86,1956.55,SYNTH_ATOSINK_0000052,0.0,5535.31,1,0,ato_rapid_drain,1
346,TRANSFER,59751.26,SYNTH_ATO_0000053,127862.62,68111.36,SYNTH_ATOSINK_0000053,0.0,59751.26,1,0,ato_rapid_drain,1
347,TRANSFER,32918.46,SYNTH_ATO_0000053,68111.36,35192.9,SYNTH_ATOSINK_0000053,0.0,32918.46,1,0,ato_rapid_drain,1
348,TRANSFER,21697.06,SYNTH_ATO_0000053,35192.9,13495.84,SYNTH_ATOSINK_0000053,0.0,21697.06,1,0,ato_rapid_drain,1
372,TRANSFER,71753.56,SYNTH_ATO_0000054,104948.87,33195.31,SYNTH_ATOSINK_0000054,0.0,71753.56,1,0,ato_rapid_drain,1
373,TRANSFER,27243.98,SYNTH_ATO_0000054,33195.31,5951.33,SYNTH_ATOSINK_0000054,0.0,27243.98,1,0,ato_rapid_drain,1
38,TRANSFER,82597.77,SYNTH_ATO_0000055,140337.67,57739.9,SYNTH_ATOSINK_0000055,0.0,82597.77,1,0,ato_rapid_drain,1
39,TRANSFER,38982.77,SYNTH_ATO_0000055,57739.9,18757.13,SYNTH_ATOSINK_0000055,0.0,38982.77,1,0,ato_rapid_drain,1
40,TRANSFER,12437.18,SYNTH_ATO_0000055,18757.13,6319.95,SYNTH_ATOSINK_0000055,0.0,12437.18,1,0,ato_rapid_drain,1
403,TRANSFER,330681.28,SYNTH_ATO_0000056,389951.73,59270.44,SYNTH_ATOSINK_0000056,0.0,330681.28,1,0,ato_rapid_drain,1
404,TRANSFER,51407.7,SYNTH_ATO_0000056,59270.44,7862.74,SYNTH_ATOSINK_0000056,0.0,51407.7,1,0,ato_rapid_drain,1
119,TRANSFER,14006.19,SYNTH_ATO_0000057,17089.98,3083.78,SYNTH_ATOSINK_0000057,0.0,14006.19,1,0,ato_rapid_drain,1
120,TRANSFER,1178.72,SYNTH_ATO_0000057,3083.78,1905.07,SYNTH_ATOSINK_0000057,0.0,1178.72,1,0,ato_rapid_drain,1
548,TRANSFER,52902.75,SYNTH_ATO_0000058,59728.35,6825.6,SYNTH_ATOSINK_0000058,0.0,52902.75,1,0,ato_rapid_drain,1
549,TRANSFER,1033.89,SYNTH_ATO_0000058,6825.6,5791.71,SYNTH_ATOSINK_0000058,0.0,1033.89,1,0,ato_rapid_drain,1
507,TRANSFER,73005.22,SYNTH_ATO_0000059,163124.73,90119.5,SYNTH_ATOSINK_0000059,0.0,73005.22,1,0,ato_rapid_drain,1
508,TRANSFER,52855.01,SYNTH_ATO_0000059,90119.5,37264.49,SYNTH_ATOSINK_0000059,0.0,52855.01,1,0,ato_rapid_drain,1
509,TRANSFER,15697.24,SYNTH_ATO_0000059,37264.49,21567.25,SYNTH_ATOSINK_0000059,0.0,15697.24,1,0,ato_rapid_drain,1
684,TRANSFER,16507.25,SYNTH_ATO_0000060,25735.97,9228.72,SYNTH_ATOSINK_0000060,0.0,16507.25,1,0,ato_rapid_drain,1
685,TRANSFER,7291.66,SYNTH_ATO_0000060,9228.72,1937.06,SYNTH_ATOSINK_0000060,0.0,7291.66,1,0,ato_rapid_drain,1
554,TRANSFER,197152.74,SYNTH_ATO_0000061,346125.5,148972.76,SYNTH_ATOSINK_0000061,0.0,197152.74,1,0,ato_rapid_drain,1
555,TRANSFER,141941.36,SYNTH_ATO_0000061,148972.76,7031.4,SYNTH_ATOSINK_0000061,0.0,141941.36,1,0,ato_rapid_drain,1
271,TRANSFER,68557.14,SYNTH_ATO_0000062,135009.86,66452.72,SYNTH_ATOSINK_0000062,0.0,68557.14,1,0,ato_rapid_drain,1
272,TRANSFER,58502.6,SYNTH_ATO_0000062,66452.72,7950.12,SYNTH_ATOSINK_0000062,0.0,58502.6,1,0,ato_rapid_drain,1
718,TRANSFER,181147.84,SYNTH_ATO_0000063,202723.12,21575.28,SYNTH_ATOSINK_0000063,0.0,181147.84,1,0,ato_rapid_drain,1
719,TRANSFER,6853.06,SYNTH_ATO_0000063,21575.28,14722.23,SYNTH_ATOSINK_0000063,0.0,6853.06,1,0,ato_rapid_drain,1
303,TRANSFER,30102.64,SYNTH_ATO_0000064,60760.66,30658.03,SYNTH_ATOSINK_0000064,0.0,30102.64,1,0,ato_rapid_drain,1
304,TRANSFER,16383.65,SYNTH_ATO_0000064,30658.03,14274.38,SYNTH_ATOSINK_0000064,0.0,16383.65,1,0,ato_rapid_drain,1
305,TRANSFER,8259.56,SYNTH_ATO_0000064,14274.38,6014.82,SYNTH_ATOSINK_0000064,0.0,8259.56,1,0,ato_rapid_drain,1
243,TRANSFER,142585.93,SYNTH_ATO_0000065,197145.86,54559.93,SYNTH_ATOSINK_0000065,0.0,142585.93,1,0,ato_rapid_drain,1
244,TRANSFER,48446.21,SYNTH_ATO_0000065,54559.93,6113.72,SYNTH_ATOSINK_0000065,0.0,48446.21,1,0,ato_rapid_drain,1
669,TRANSFER,119477.43,SYNTH_ATO_0000066,244800.98,125323.55,SYNTH_ATOSINK_0000066,0.0,119477.43,1,0,ato_rapid_drain,1
670,TRANSFER,89269.25,SYNTH_ATO_0000066,125323.55,36054.3,SYNTH_ATOSINK_0000066,0.0,89269.25,1,0,ato_rapid_drain,1
