step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
372,PAYMENT,181.82,SYNTH_ATO_0000000,2081.61,1899.79,C1082621182,0.0,181.82,0,0,ato_rapid_drain_v2,1
377,TRANSFER,27788.21,SYNTH_ATO_0000000,30299.67,2511.46,SYNTH_ATOSINK_0000000,0.0,27788.21,1,0,ato_rapid_drain_v2,1
378,TRANSFER,149.4,SYNTH_ATO_0000000,2511.46,2362.06,SYNTH_ATOSINK_0000000,0.0,149.4,1,0,ato_rapid_drain_v2,1
483,PAYMENT,120.38,SYNTH_ATO_0000001,621.61,501.23,C1362382829,0.0,120.38,0,0,ato_rapid_drain_v2,1
484,TRANSFER,14275.99,SYNTH_ATO_0000001,23409.31,9133.32,SYNTH_ATOSINK_0000001,0.0,14275.99,1,0,ato_rapid_drain_v2,1
485,TRANSFER,5674.63,SYNTH_ATO_0000001,9133.32,3458.7,SYNTH_ATOSINK_0000001,0.0,5674.63,1,0,ato_rapid_drain_v2,1
486,TRANSFER,1462.67,SYNTH_ATO_0000001,3458.7,1996.03,SYNTH_ATOSINK_0000001,0.0,1462.67,1,0,ato_rapid_drain_v2,1
296,PAYMENT,203.23,SYNTH_ATO_0000002,2679.15,2475.92,C1040714115,0.0,203.23,0,0,ato_rapid_drain_v2,1
298,TRANSFER,9141.94,SYNTH_ATO_0000002,15309.76,6167.82,SYNTH_ATOSINK_0000002,0.0,9141.94,1,0,ato_rapid_drain_v2,1
34,PAYMENT,23.23,SYNTH_ATO_0000003,345.55,322.32,C1700418002,0.0,23.23,0,0,ato_rapid_drain_v2,1
37,TRANSFER,10275.42,SYNTH_ATO_0000003,16005.01,5729.59,SYNTH_ATOSINK_0000003,0.0,10275.42,1,0,ato_rapid_drain_v2,1
429,PAYMENT,47.57,SYNTH_ATO_0000004,181.43,133.86,C336715250,0.0,47.57,0,0,ato_rapid_drain_v2,1
430,TRANSFER,5113.61,SYNTH_ATO_0000004,8050.55,2936.94,SYNTH_ATOSINK_0000004,0.0,5113.61,1,0,ato_rapid_drain_v2,1
20,PAYMENT,136.41,SYNTH_ATO_0000005,1451.02,1314.61,C784733410,0.0,136.41,0,0,ato_rapid_drain_v2,1
21,TRANSFER,6803.07,SYNTH_ATO_0000005,20654.97,13851.89,SYNTH_ATOSINK_0000005,0.0,6803.07,1,0,ato_rapid_drain_v2,1
22,TRANSFER,3418.72,SYNTH_ATO_0000005,13851.89,10433.17,SYNTH_ATOSINK_0000005,0.0,3418.72,1,0,ato_rapid_drain_v2,1
201,PAYMENT,172.52,SYNTH_ATO_0000006,1749.75,1577.23,C603849114,0.0,172.52,0,0,ato_rapid_drain_v2,1
