step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
614,TRANSFER,8766.07,SYNTH_MULE0_0000000,8766.07,0.0,SYNTH_MULE0_0000001,0.0,8236.17,1,0,mule_network_layering,1
615,TRANSFER,8236.17,SYNTH_MULE0_0000001,8236.17,0.0,SYNTH_MULE0_0000002,0.0,8041.8,1,0,mule_network_layering,1
616,TRANSFER,8041.8,SYNTH_MULE0_0000002,8041.8,0.0,SYNTH_MULE0_0000003,0.0,7596.39,1,0,mule_network_layering,1
617,TRANSFER,7596.39,SYNTH_MULE0_0000003,7596.39,0.0,SYNTH_MULE0_0000004,0.0,7132.71,1,0,mule_network_layering,1
618,CASH_OUT,7132.71,SYNTH_MULESINK0_0000000,7132.71,0.0,SYNTH_MERCHANT0_0000000,0.0,7132.71,1,0,mule_network_layering,1
347,TRANSFER,6807.7,SYNTH_MULE1_0000000,6807.7,0.0,SYNTH_MULE1_0000001,0.0,6386.73,1,0,mule_network_layering,1
348,TRANSFER,6386.73,SYNTH_MULE1_0000001,6386.73,0.0,SYNTH_MULE1_0000002,0.0,6031.26,1,0,mule_network_layering,1
349,TRANSFER,6031.26,SYNTH_MULE1_0000002,6031.26,0.0,SYNTH_MULE1_0000003,0.0,5835.5,1,0,mule_network_layering,1
350,TRANSFER,5835.5,SYNTH_MULE1_0000003,5835.5,0.0,SYNTH_MULE1_0000004,0.0,5521.62,1,0,mule_network_layering,1
351,CASH_OUT,5521.62,SYNTH_MULESINK1_0000000,5521.62,0.0,SYNTH_MERCHANT1_0000000,0.0,5521.62,1,0,mule_network_layering,1
674,TRANSFER,9160.05,SYNTH_MULE2_0000000,9160.05,0.0,SYNTH_MULE2_0000001,0.0,8717.55,1,0,mule_network_layering,1
675,TRANSFER,8717.55,SYNTH_MULE2_0000001,8717.55,0.0,SYNTH_MULE2_0000002,0.0,8374.99,1,0,mule_network_layering,1
676,TRANSFER,8374.99,SYNTH_MULE2_0000002,8374.99,0.0,SYNTH_MULE2_0000003,0.0,8164.33,1,0,mule_network_layering,1
677,TRANSFER,8164.33,SYNTH_MULE2_0000003,8164.33,0.0,SYNTH_MULE2_0000004,0.0,7881.21,1,0,mule_network_layering,1
678,CASH_OUT,7881.21,SYNTH_MULESINK2_0000000,7881.21,0.0,SYNTH_MERCHANT2_0000000,0.0,7881.21,1,0,mule_network_layering,1
156,TRANSFER,9329.56,SYNTH_MULE3_0000000,9329.56,0.0,SYNTH_MULE3_0000001,0.0,9018.43,1,0,mule_network_layering,1
157,TRANSFER,9018.43,SYNTH_MULE3_0000001,9018.43,0.0,SYNTH_MULE3_0000002,0.0,8397.13,1,0,mule_network_layering,1
158,TRANSFER,8397.13,SYNTH_MULE3_0000002,8397.13,0.0,SYNTH_MULE3_0000003,0.0,8144.22,1,0,mule_network_layering,1
