step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
532,TRANSFER,6936.38,SYNTH_SMURF_0000000,47282.71,40346.33,SYNTH_SMURFSINK_0000000,0.0,6936.38,1,0,structuring_smurfing,1
320,TRANSFER,9473.56,SYNTH_SMURF_0000000,40346.33,30872.77,SYNTH_SMURFSINK_0000000,0.0,9473.56,1,0,structuring_smurfing,1
688,TRANSFER,6497.27,SYNTH_SMURF_0000000,30872.77,24375.51,SYNTH_SMURFSINK_0000000,0.0,6497.27,1,0,structuring_smurfing,1
489,TRANSFER,9095.64,SYNTH_SMURF_0000000,24375.51,15279.86,SYNTH_SMURFSINK_0000000,0.0,9095.64,1,0,structuring_smurfing,1
395,TRANSFER,8317.61,SYNTH_SMURF_0000000,15279.86,6962.26,SYNTH_SMURFSINK_0000000,0.0,8317.61,1,0,structuring_smurfing,1
711,TRANSFER,3393.42,SYNTH_SMURF_0000000,6962.26,3568.84,SYNTH_SMURFSINK_0000000,0.0,3393.42,1,0,structuring_smurfing,1
312,TRANSFER,8035.18,SYNTH_SMURF_0000001,57467.35,49432.16,SYNTH_SMURFSINK_0000001,0.0,8035.18,1,0,structuring_smurfing,1
525,TRANSFER,6401.44,SYNTH_SMURF_0000001,49432.16,43030.73,SYNTH_SMURFSINK_0000001,0.0,6401.44,1,0,structuring_smurfing,1
415,TRANSFER,7846.99,SYNTH_SMURF_0000001,43030.73,35183.74,SYNTH_SMURFSINK_0000001,0.0,7846.99,1,0,structuring_smurfing,1
611,TRANSFER,8824.72,SYNTH_SMURF_0000001,35183.74,26359.01,SYNTH_SMURFSINK_0000001,0.0,8824.72,1,0,structuring_smurfing,1
399,TRANSFER,7213.95,SYNTH_SMURF_0000001,26359.01,19145.06,SYNTH_SMURFSINK_0000001,0.0,7213.95,1,0,structuring_smurfing,1
614,TRANSFER,7103.34,SYNTH_SMURF_0000001,19145.06,12041.72,SYNTH_SMURFSINK_0000001,0.0,7103.34,1,0,structuring_smurfing,1
484,TRANSFER,7344.26,SYNTH_SMURF_0000002,42671.79,35327.53,SYNTH_SMURFSINK_0000002,0.0,7344.26,1,0,structuring_smurfing,1
74,TRANSFER,5815.49,SYNTH_SMURF_0000002,35327.53,29512.04,SYNTH_SMURFSINK_0000002,0.0,5815.49,1,0,structuring_smurfing,1
357,TRANSFER,4260.3,SYNTH_SMURF_0000002,29512.04,25251.74,SYNTH_SMURFSINK_0000002,0.0,4260.3,1,0,structuring_smurfing,1
631,TRANSFER,5271.46,SYNTH_SMURF_0000002,25251.74,19980.28,SYNTH_SMURFSINK_0000002,0.0,5271.46,1,0,structuring_smurfing,1
503,TRANSFER,7715.31,SYNTH_SMURF_0000002,19980.28,12264.97,SYNTH_SMURFSINK_0000002,0.0,7715.31,1,0,structuring_smurfing,1
577,TRANSFER,4369.21,SYNTH_SMURF_0000002,12264.97,7895.76,SYNTH_SMURFSINK_0000002,0.0,4369.21,1,0,structuring_smurfing,1
639,TRANSFER,7090.5,SYNTH_SMURF_0000003,36614.65,29524.15,SYNTH_SMURFSINK_0000003,0.0,7090.5,1,0,structuring_smurfing,1
40,TRANSFER,5061.11,SYNTH_SMURF_0000003,29524.15,24463.04,SYNTH_SMURFSINK_0000003,0.0,5061.11,1,0,structuring_smurfing,1
674,TRANSFER,5004.14,SYNTH_SMURF_0000003,24463.04,19458.9,SYNTH_SMURFSINK_0000003,0.0,5004.14,1,0,structuring_smurfing,1
529,TRANSFER,3264.81,SYNTH_SMURF_0000003,19458.9,16194.09,SYNTH_SMURFSINK_0000003,0.0,3264.81,1,0,structuring_smurfing,1
697,TRANSFER,7880.83,SYNTH_SMURF_0000003,16194.09,8313.27,SYNTH_SMURFSINK_0000003,0.0,7880.83,1,0,structuring_smurfing,1
682,TRANSFER,3289.27,SYNTH_SMURF_0000003,8313.27,5023.99,SYNTH_SMURFSINK_0000003,0.0,3289.27,1,0,structuring_smurfing,1
610,TRANSFER,5175.11,SYNTH_SMURF_0000004,53675.32,48500.2,SYNTH_SMURFSINK_0000004,0.0,5175.11,1,0,structuring_smurfing,1
71,TRANSFER,6495.49,SYNTH_SMURF_0000004,48500.2,42004.72,SYNTH_SMURFSINK_0000004,0.0,6495.49,1,0,structuring_smurfing,1
280,TRANSFER,5888.71,SYNTH_SMURF_0000004,42004.72,36116.01,SYNTH_SMURFSINK_0000004,0.0,5888.71,1,0,structuring_smurfing,1
280,TRANSFER,7007.72,SYNTH_SMURF_0000004,36116.01,29108.28,SYNTH_SMURFSINK_0000004,0.0,7007.72,1,0,structuring_smurfing,1
16,TRANSFER,9017.4,SYNTH_SMURF_0000004,29108.28,20090.88,SYNTH_SMURFSINK_0000004,0.0,9017.4,1,0,structuring_smurfing,1
134,TRANSFER,9666.56,SYNTH_SMURF_0000004,20090.88,10424.31,SYNTH_SMURFSINK_0000004,0.0,9666.56,1,0,structuring_smurfing,1
209,TRANSFER,6325.13,SYNTH_SMURF_0000005,37515.68,31190.54,SYNTH_SMURFSINK_0000005,0.0,6325.13,1,0,structuring_smurfing,1
192,TRANSFER,9158.95,SYNTH_SMURF_0000005,31190.54,22031.6,SYNTH_SMURFSINK_0000005,0.0,9158.95,1,0,structuring_smurfing,1
282,TRANSFER,3218.37,SYNTH_SMURF_0000005,22031.6,18813.23,SYNTH_SMURFSINK_0000005,0.0,3218.37,1,0,structuring_smurfing,1
712,TRANSFER,3448.75,SYNTH_SMURF_0000005,18813.23,15364.47,SYNTH_SMURFSINK_0000005,0.0,3448.75,1,0,structuring_smurfing,1
251,TRANSFER,5701.93,SYNTH_SMURF_0000005,15364.47,9662.54,SYNTH_SMURFSINK_0000005,0.0,5701.93,1,0,structuring_smurfing,1
169,TRANSFER,3537.86,SYNTH_SMURF_0000005,9662.54,6124.68,SYNTH_SMURFSINK_0000005,0.0,3537.86,1,0,structuring_smurfing,1
593,TRANSFER,5524.13,SYNTH_SMURF_0000006,45218.04,39693.91,SYNTH_SMURFSINK_0000006,0.0,5524.13,1,0,structuring_smurfing,1
265,TRANSFER,8539.31,SYNTH_SMURF_0000006,39693.91,31154.6,SYNTH_SMURFSINK_0000006,0.0,8539.31,1,0,structuring_smurfing,1
419,TRANSFER,3928.49,SYNTH_SMURF_0000006,31154.6,27226.11,SYNTH_SMURFSINK_0000006,0.0,3928.49,1,0,structuring_smurfing,1
398,TRANSFER,5870.23,SYNTH_SMURF_0000006,27226.11,21355.88,SYNTH_SMURFSINK_0000006,0.0,5870.23,1,0,structuring_smurfing,1
478,TRANSFER,7621.4,SYNTH_SMURF_0000006,21355.88,13734.48,SYNTH_SMURFSINK_0000006,0.0,7621.4,1,0,structuring_smurfing,1
82,TRANSFER,8817.18,SYNTH_SMURF_0000006,13734.48,4917.29,SYNTH_SMURFSINK_0000006,0.0,8817.18,1,0,structuring_smurfing,1
639,TRANSFER,7849.09,SYNTH_SMURF_0000007,41527.32,33678.22,SYNTH_SMURFSINK_0000007,0.0,7849.09,1,0,structuring_smurfing,1
66,TRANSFER,3444.87,SYNTH_SMURF_0000007,33678.22,30233.35,SYNTH_SMURFSINK_0000007,0.0,3444.87,1,0,structuring_smurfing,1
414,TRANSFER,8779.07,SYNTH_SMURF_0000007,30233.35,21454.28,SYNTH_SMURFSINK_0000007,0.0,8779.07,1,0,structuring_smurfing,1
613,TRANSFER,8598.05,SYNTH_SMURF_0000007,21454.28,12856.23,SYNTH_SMURFSINK_0000007,0.0,8598.05,1,0,structuring_smurfing,1
524,TRANSFER,3595.82,SYNTH_SMURF_0000007,12856.23,9260.41,SYNTH_SMURFSINK_0000007,0.0,3595.82,1,0,structuring_smurfing,1
201,TRANSFER,3159.17,SYNTH_SMURF_0000007,9260.41,6101.24,SYNTH_SMURFSINK_0000007,0.0,3159.17,1,0,structuring_smurfing,1
105,TRANSFER,6354.43,SYNTH_SMURF_0000008,44971.63,38617.2,SYNTH_SMURFSINK_0000008,0.0,6354.43,1,0,structuring_smurfing,1
628,TRANSFER,9626.92,SYNTH_SMURF_0000008,38617.2,28990.28,SYNTH_SMURFSINK_0000008,0.0,9626.92,1,0,structuring_smurfing,1
117,TRANSFER,4005.87,SYNTH_SMURF_0000008,28990.28,24984.41,SYNTH_SMURFSINK_0000008,0.0,4005.87,1,0,structuring_smurfing,1
482,TRANSFER,8565.72,SYNTH_SMURF_0000008,24984.41,16418.7,SYNTH_SMURFSINK_0000008,0.0,8565.72,1,0,structuring_smurfing,1
640,TRANSFER,3346.72,SYNTH_SMURF_0000008,16418.7,13071.97,SYNTH_SMURFSINK_0000008,0.0,3346.72,1,0,structuring_smurfing,1
493,TRANSFER,6200.25,SYNTH_SMURF_0000008,13071.97,6871.73,SYNTH_SMURFSINK_0000008,0.0,6200.25,1,0,structuring_smurfing,1
581,TRANSFER,6096.93,SYNTH_SMURF_0000009,33135.27,27038.34,SYNTH_SMURFSINK_0000009,0.0,6096.93,1,0,structuring_smurfing,1
639,TRANSFER,5190.22,SYNTH_SMURF_0000009,27038.34,21848.12,SYNTH_SMURFSINK_0000009,0.0,5190.22,1,0,structuring_smurfing,1
194,TRANSFER,5046.72,SYNTH_SMURF_0000009,21848.12,16801.4,SYNTH_SMURFSINK_0000009,0.0,5046.72,1,0,structuring_smurfing,1
458,TRANSFER,4680.71,SYNTH_SMURF_0000009,16801.4,12120.69,SYNTH_SMURFSINK_0000009,0.0,4680.71,1,0,structuring_smurfing,1
403,TRANSFER,5445.82,SYNTH_SMURF_0000009,12120.69,6674.87,SYNTH_SMURFSINK_0000009,0.0,5445.82,1,0,structuring_smurfing,1
104,TRANSFER,4004.61,SYNTH_SMURF_0000009,6674.87,2670.26,SYNTH_SMURFSINK_0000009,0.0,4004.61,1,0,structuring_smurfing,1
115,TRANSFER,3057.74,SYNTH_SMURF_0000010,45953.31,42895.58,SYNTH_SMURFSINK_0000010,0.0,3057.74,1,0,structuring_smurfing,1
67,TRANSFER,3316.58,SYNTH_SMURF_0000010,42895.58,39579.0,SYNTH_SMURFSINK_0000010,0.0,3316.58,1,0,structuring_smurfing,1
616,TRANSFER,8107.08,SYNTH_SMURF_0000010,39579.0,31471.91,SYNTH_SMURFSINK_0000010,0.0,8107.08,1,0,structuring_smurfing,1
411,TRANSFER,9614.15,SYNTH_SMURF_0000010,31471.91,21857.77,SYNTH_SMURFSINK_0000010,0.0,9614.15,1,0,structuring_smurfing,1
253,TRANSFER,3300.7,SYNTH_SMURF_0000010,21857.77,18557.07,SYNTH_SMURFSINK_0000010,0.0,3300.7,1,0,structuring_smurfing,1
553,TRANSFER,8012.08,SYNTH_SMURF_0000010,18557.07,10544.99,SYNTH_SMURFSINK_0000010,0.0,8012.08,1,0,structuring_smurfing,1
490,TRANSFER,4726.04,SYNTH_SMURF_0000011,39466.37,34740.33,SYNTH_SMURFSINK_0000011,0.0,4726.04,1,0,structuring_smurfing,1
534,TRANSFER,4269.59,SYNTH_SMURF_0000011,34740.33,30470.74,SYNTH_SMURFSINK_0000011,0.0,4269.59,1,0,structuring_smurfing,1
350,TRANSFER,3830.3,SYNTH_SMURF_0000011,30470.74,26640.44,SYNTH_SMURFSINK_0000011,0.0,3830.3,1,0,structuring_smurfing,1
646,TRANSFER,6720.21,SYNTH_SMURF_0000011,26640.44,19920.22,SYNTH_SMURFSINK_0000011,0.0,6720.21,1,0,structuring_smurfing,1
306,TRANSFER,6996.18,SYNTH_SMURF_0000011,19920.22,12924.04,SYNTH_SMURFSINK_0000011,0.0,6996.18,1,0,structuring_smurfing,1
574,TRANSFER,8308.21,SYNTH_SMURF_0000011,12924.04,4615.83,SYNTH_SMURFSINK_0000011,0.0,8308.21,1,0,structuring_smurfing,1
248,TRANSFER,9244.03,SYNTH_SMURF_0000012,49477.62,40233.59,SYNTH_SMURFSINK_0000012,0.0,9244.03,1,0,structuring_smurfing,1
78,TRANSFER,7568.7,SYNTH_SMURF_0000012,40233.59,32664.89,SYNTH_SMURFSINK_0000012,0.0,7568.7,1,0,structuring_smurfing,1
311,TRANSFER,9529.76,SYNTH_SMURF_0000012,32664.89,23135.13,SYNTH_SMURFSINK_0000012,0.0,9529.76,1,0,structuring_smurfing,1
209,TRANSFER,5793.31,SYNTH_SMURF_0000012,23135.13,17341.82,SYNTH_SMURFSINK_0000012,0.0,5793.31,1,0,structuring_smurfing,1
714,TRANSFER,6600.83,SYNTH_SMURF_0000012,17341.82,10740.99,SYNTH_SMURFSINK_0000012,0.0,6600.83,1,0,structuring_smurfing,1
372,TRANSFER,6263.67,SYNTH_SMURF_0000012,10740.99,4477.31,SYNTH_SMURFSINK_0000012,0.0,6263.67,1,0,structuring_smurfing,1
