step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
68,TRANSFER,14925.08,SYNTH_ATO_0000000,23477.13,8552.05,SYNTH_ATOSINK_0000000,0.0,14925.08,1,0,ato_rapid_drain,1
69,TRANSFER,7717.42,SYNTH_ATO_0000000,8552.05,834.63,SYNTH_ATOSINK_0000000,0.0,7717.42,1,0,ato_rapid_drain,1
574,TRANSFER,21368.02,SYNTH_ATO_0000001,24698.87,3330.85,SYNTH_ATOSINK_0000001,0.0,21368.02,1,0,ato_rapid_drain,1
575,TRANSFER,1347.68,SYNTH_ATO_0000001,3330.85,1983.17,SYNTH_ATOSINK_0000001,0.0,1347.68,1,0,ato_rapid_drain,1
484,TRANSFER,12414.71,SYNTH_ATO_0000002,21285.14,8870.43,SYNTH_ATOSINK_0000002,0.0,12414.71,1,0,ato_rapid_drain,1
485,TRANSFER,7398.2,SYNTH_ATO_0000002,8870.43,1472.23,SYNTH_ATOSINK_0000002,0.0,7398.2,1,0,ato_rapid_drain,1
327,TRANSFER,3682.25,SYNTH_ATO_0000003,7725.95,4043.7,SYNTH_ATOSINK_0000003,0.0,3682.25,1,0,ato_rapid_drain,1
328,TRANSFER,3159.19,SYNTH_ATO_0000003,4043.7,884.51,SYNTH_ATOSINK_0000003,0.0,3159.19,1,0,ato_rapid_drain,1
321,TRANSFER,3366.55,SYNTH_ATO_0000004,4509.48,1142.93,SYNTH_ATOSINK_0000004,0.0,3366.55,1,0,ato_rapid_drain,1
322,TRANSFER,496.13,SYNTH_ATO_0000004,1142.93,646.81,SYNTH_ATOSINK_0000004,0.0,496.13,1,0,ato_rapid_drain,1
636,TRANSFER,11115.25,SYNTH_ATO_0000005,18631.56,7516.31,SYNTH_ATOSINK_0000005,0.0,11115.25,1,0,ato_rapid_drain,1
637,TRANSFER,6161.68,SYNTH_ATO_0000005,7516.31,1354.63,SYNTH_ATOSINK_0000005,0.0,6161.68,1,0,ato_rapid_drain,1
65,TRANSFER,10237.1,SYNTH_ATO_0000006,13587.89,3350.79,SYNTH_ATOSINK_0000006,0.0,10237.1,1,0,ato_rapid_drain,1
66,TRANSFER,1833.27,SYNTH_ATO_0000006,3350.79,1517.52,SYNTH_ATOSINK_0000006,0.0,1833.27,1,0,ato_rapid_drain,1
516,TRANSFER,11405.31,SYNTH_ATO_0000007,23756.98,12351.67,SYNTH_ATOSINK_0000007,0.0,11405.31,1,0,ato_rapid_drain,1
517,TRANSFER,6115.09,SYNTH_ATO_0000007,12351.67,6236.58,SYNTH_ATOSINK_0000007,0.0,6115.09,1,0,ato_rapid_drain,1
518,TRANSFER,4722.57,SYNTH_ATO_0000007,6236.58,1514.01,SYNTH_ATOSINK_0000007,0.0,4722.57,1,0,ato_rapid_drain,1
151,TRANSFER,20026.51,SYNTH_ATO_0000008,27478.86,7452.35,SYNTH_ATOSINK_0000008,0.0,20026.51,1,0,ato_rapid_drain,1
152,TRANSFER,6317.8,SYNTH_ATO_0000008,7452.35,1134.55,SYNTH_ATOSINK_0000008,0.0,6317.8,1,0,ato_rapid_drain,1
70,TRANSFER,8855.83,SYNTH_ATO_0000009,19593.34,10737.51,SYNTH_ATOSINK_0000009,0.0,8855.83,1,0,ato_rapid_drain,1
71,TRANSFER,7844.77,SYNTH_ATO_0000009,10737.51,2892.74,SYNTH_ATOSINK_0000009,0.0,7844.77,1,0,ato_rapid_drain,1
390,TRANSFER,23892.66,SYNTH_ATO_0000010,28455.02,4562.36,SYNTH_ATOSINK_0000010,0.0,23892.66,1,0,ato_rapid_drain,1
391,TRANSFER,2497.75,SYNTH_ATO_0000010,4562.36,2064.62,SYNTH_ATOSINK_0000010,0.0,2497.75,1,0,ato_rapid_drain,1
721,TRANSFER,9699.74,SYNTH_ATO_0000011,20692.5,10992.77,SYNTH_ATOSINK_0000011,0.0,9699.74,1,0,ato_rapid_drain,1
