step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
90,TRANSFER,10574.22,SYNTH_MULE0_0000000,10574.22,0.0,SYNTH_MULE0_0000001,0.0,10204.01,1,0,mule_network_layering,1
91,TRANSFER,10204.01,SYNTH_MULE0_0000001,10204.01,0.0,SYNTH_MULE0_0000002,0.0,9463.37,1,0,mule_network_layering,1
92,TRANSFER,9463.37,SYNTH_MULE0_0000002,9463.37,0.0,SYNTH_MULE0_0000003,0.0,9098.32,1,0,mule_network_layering,1
93,CASH_OUT,9098.32,SYNTH_MULESINK0_0000000,9098.32,0.0,SYNTH_MERCHANT0_0000000,0.0,9098.32,1,0,mule_network_layering,1
628,TRANSFER,4139.01,SYNTH_MULE1_0000000,4139.01,0.0,SYNTH_MULE1_0000001,0.0,3929.19,1,0,mule_network_layering,1
629,TRANSFER,3929.19,SYNTH_MULE1_0000001,3929.19,0.0,SYNTH_MULE1_0000002,0.0,3744.35,1,0,mule_network_layering,1
630,TRANSFER,3744.35,SYNTH_MULE1_0000002,3744.35,0.0,SYNTH_MULE1_0000003,0.0,3500.67,1,0,mule_network_layering,1
631,CASH_OUT,3500.67,SYNTH_MULESINK1_0000000,3500.67,0.0,SYNTH_MERCHANT1_0000000,0.0,3500.67,1,0,mule_network_layering,1
277,TRANSFER,3164.57,SYNTH_MULE2_0000000,3164.57,0.0,SYNTH_MULE2_0000001,0.0,3051.6,1,0,mule_network_layering,1
278,TRANSFER,3051.6,SYNTH_MULE2_0000001,3051.6,0.0,SYNTH_MULE2_0000002,0.0,2939.64,1,0,mule_network_layering,1
279,TRANSFER,2939.64,SYNTH_MULE2_0000002,2939.64,0.0,SYNTH_MULE2_0000003,0.0,2717.2,1,0,mule_network_layering,1
280,CASH_OUT,2717.2,SYNTH_MULESINK2_0000000,2717.2,0.0,SYNTH_MERCHANT2_0000000,0.0,2717.2,1,0,mule_network_layering,1
122,TRANSFER,6166.39,SYNTH_MULE3_0000000,6166.39,0.0,SYNTH_MULE3_0000001,0.0,5922.1,1,0,mule_network_layering,1
123,TRANSFER,5922.1,SYNTH_MULE3_0000001,5922.1,0.0,SYNTH_MULE3_0000002,0.0,5772.25,1,0,mule_network_layering,1
