step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,attack_family,is_synthetic
253,TRANSFER,8299.71,SYNTH_SMURF_0000000,59141.52,50841.8,SYNTH_SMURFSINK_0000000,0.0,8299.71,1,0,structuring_smurfing,1
494,TRANSFER,8543.24,SYNTH_SMURF_0000000,50841.8,42298.56,SYNTH_SMURFSINK_0000000,0.0,8543.24,1,0,structuring_smurfing,1
470,TRANSFER,7132.5,SYNTH_SMURF_0000000,42298.56,35166.06,SYNTH_SMURFSINK_0000000,0.0,7132.5,1,0,structuring_smurfing,1
529,TRANSFER,8091.55,SYNTH_SMURF_0000000,35166.06,27074.52,SYNTH_SMURFSINK_0000000,0.0,8091.55,1,0,structuring_smurfing,1
177,TRANSFER,8574.04,SYNTH_SMURF_0000000,27074.52,18500.48,SYNTH_SMURFSINK_0000000,0.0,8574.04,1,0,structuring_smurfing,1
471,TRANSFER,8580.02,SYNTH_SMURF_0000000,18500.48,9920.46,SYNTH_SMURFSINK_0000000,0.0,8580.02,1,0,structuring_smurfing,1
320,TRANSFER,7273.22,SYNTH_SMURF_0000001,55449.48,48176.26,SYNTH_SMURFSINK_0000001,0.0,7273.22,1,0,structuring_smurfing,1
451,TRANSFER,7737.52,SYNTH_SMURF_0000001,48176.26,40438.74,SYNTH_SMURFSINK_0000001,0.0,7737.52,1,0,structuring_smurfing,1
145,TRANSFER,8423.98,SYNTH_SMURF_0000001,40438.74,32014.76,SYNTH_SMURFSINK_0000001,0.0,8423.98,1,0,structuring_smurfing,1
182,TRANSFER,9357.07,SYNTH_SMURF_0000001,32014.76,22657.69,SYNTH_SMURFSINK_0000001,0.0,9357.07,1,0,structuring_smurfing,1
57,TRANSFER,8833.44,SYNTH_SMURF_0000001,22657.69,13824.25,SYNTH_SMURFSINK_0000001,0.0,8833.44,1,0,structuring_smurfing,1
538,TRANSFER,7244.1,SYNTH_SMURF_0000001,13824.25,6580.15,SYNTH_SMURFSINK_0000001,0.0,7244.1,1,0,structuring_smurfing,1
588,TRANSFER,8204.88,SYNTH_SMURF_0000002,53848.27,45643.4,SYNTH_SMURFSINK_0000002,0.0,8204.88,1,0,structuring_smurfing,1
145,TRANSFER,9333.09,SYNTH_SMURF_0000002,45643.4,36310.3,SYNTH_SMURFSINK_0000002,0.0,9333.09,1,0,structuring_smurfing,1
279,TRANSFER,8952.96,SYNTH_SMURF_0000002,36310.3,27357.34,SYNTH_SMURFSINK_0000002,0.0,8952.96,1,0,structuring_smurfing,1
158,TRANSFER,8403.33,SYNTH_SMURF_0000002,27357.34,18954.0,SYNTH_SMURFSINK_0000002,0.0,8403.33,1,0,structuring_smurfing,1
159,TRANSFER,7994.23,SYNTH_SMURF_0000002,18954.0,10959.78,SYNTH_SMURFSINK_0000002,0.0,7994.23,1,0,structuring_smurfing,1
271,TRANSFER,7136.03,SYNTH_SMURF_0000002,10959.78,3823.75,SYNTH_SMURFSINK_0000002,0.0,7136.03,1,0,structuring_smurfing,1
650,TRANSFER,7913.42,SYNTH_SMURF_0000003,59856.93,51943.51,SYNTH_SMURFSINK_0000003,0.0,7913.42,1,0,structuring_smurfing,1
425,TRANSFER,9202.47,SYNTH_SMURF_0000003,51943.51,42741.03,SYNTH_SMURFSINK_0000003,0.0,9202.47,1,0,structuring_smurfing,1
672,TRANSFER,8035.03,SYNTH_SMURF_0000003,42741.03,34706.01,SYNTH_SMURFSINK_0000003,0.0,8035.03,1,0,structuring_smurfing,1
710,TRANSFER,9085.77,SYNTH_SMURF_0000003,34706.01,25620.24,SYNTH_SMURFSINK_0000003,0.0,9085.77,1,0,structuring_smurfing,1
174,TRANSFER,9167.3,SYNTH_SMURF_0000003,25620.24,16452.94,SYNTH_SMURFSINK_0000003,0.0,9167.3,1,0,structuring_smurfing,1
322,TRANSFER,7299.22,SYNTH_SMURF_0000003,16452.94,9153.72,SYNTH_SMURFSINK_0000003,0.0,7299.22,1,0,structuring_smurfing,1
577,TRANSFER,8491.08,SYNTH_SMURF_0000004,58631.23,50140.15,SYNTH_SMURFSINK_0000004,0.0,8491.08,1,0,structuring_smurfing,1
662,TRANSFER,7571.7,SYNTH_SMURF_0000004,50140.15,42568.45,SYNTH_SMURFSINK_0000004,0.0,7571.7,1,0,structuring_smurfing,1
374,TRANSFER,9212.52,SYNTH_SMURF_0000004,42568.45,33355.93,SYNTH_SMURFSINK_0000004,0.0,9212.52,1,0,structuring_smurfing,1
621,TRANSFER,8346.22,SYNTH_SMURF_0000004,33355.93,25009.71,SYNTH_SMURFSINK_0000004,0.0,8346.22,1,0,structuring_smurfing,1
529,TRANSFER,7091.47,SYNTH_SMURF_0000004,25009.71,17918.24,SYNTH_SMURFSINK_0000004,0.0,7091.47,1,0,structuring_smurfing,1
237,TRANSFER,8844.14,SYNTH_SMURF_0000004,17918.24,9074.1,SYNTH_SMURFSINK_0000004,0.0,8844.14,1,0,structuring_smurfing,1
264,TRANSFER,8734.26,SYNTH_SMURF_0000005,56360.47,47626.21,SYNTH_SMURFSINK_0000005,0.0,8734.26,1,0,structuring_smurfing,1
607,TRANSFER,8249.02,SYNTH_SMURF_0000005,47626.21,39377.19,SYNTH_SMURFSINK_0000005,0.0,8249.02,1,0,structuring_smurfing,1
297,TRANSFER,8133.37,SYNTH_SMURF_0000005,39377.19,31243.82,SYNTH_SMURFSINK_0000005,0.0,8133.37,1,0,structuring_smurfing,1
