account,out_degree,in_degree,total_degree,component_size
C691771226,1,0,1,2
C1416312719,0,1,1,2
C203378011,1,0,1,2
M42773300,0,1,1,2
C1698571270,1,0,1,2
M643984524,0,1,1,2
C913764937,1,0,1,2
M1387429131,0,1,1,2
C2017736577,1,0,1,2
C407484102,0,1,1,2
C677695730,1,0,1,2
M1730854331,0,1,1,2
C355629677,1,0,1,4
C1090103022,0,3,3,4
C340132482,1,0,1,2
M1065400251,0,1,1,2
C234084293,1,0,1,2
C1474695154,0,1,1,2
C1187651682,1,0,1,2
C1593563915,0,1,1,2
C938400829,1,0,1,2
C360966517,0,1,1,2
C835571957,1,0,1,3
C208019830,0,2,2,3
C1229108245,1,0,1,5
C986189638,0,4,4,5
C1653173465,1,0,1,2
C339666788,0,1,1,2
C1148180455,1,0,1,3
C1736487027,0,2,2,3
C2092027039,1,0,1,2
M69663429,0,1,1,2
C798186271,1,0,1,2
M1518291364,0,1,1,2
C2047697635,1,0,1,2
C53443461,0,1,1,2
C1593272099,1,0,1,2
C1641185696,0,1,1,2
C300451543,1,0,1,2
C35275622,0,1,1,2
C399176677,1,0,1,2
M883036381,0,1,1,2
C51715786,1,0,1,2
M321244343,0,1,1,2
C1784154332,1,0,1,2
M1710537774,0,1,1,2
C586477634,1,0,1,2
C1628505644,0,1,1,2
C1558605799,1,0,1,2
C1732043491,0,1,1,2
C414002088,1,0,1,5
C1634702191,0,4,4,5
C1769074270,1,0,1,4
C1896999135,0,3,3,4
C1474318735,1,0,1,2
M77801499,0,1,1,2
C1233144530,1,0,1,2
C646742480,0,1,1,2
C1466310333,1,0,1,3
C1447041383,0,2,2,3
C1416145951,1,0,1,5
C1538961175,0,4,4,5
C1777517449,1,0,1,3
C510508465,0,2,2,3
C1359750083,1,0,1,2
M2117228884,0,1,1,2
C303909630,1,0,1,2
M1540992892,0,1,1,2
C1589660978,1,0,1,3
C329019865,0,2,2,3
C666227771,1,0,1,2
M151537842,0,1,1,2
C1752136098,1,0,1,4
C1638895667,0,3,3,4
C1468764171,1,0,1,4
C1143566273,0,3,3,4
C701154420,1,0,1,2
M1435299851,0,1,1,2
C1428760355,1,0,1,2
M593951546,0,1,1,2
C818489116,1,0,1,2
C1710356912,0,1,1,2
C1210938791,1,0,1,2
C532834573,0,1,1,2
C1426952231,1,0,1,3
C9351786,0,2,2,3
C1833236526,1,0,1,3
C1810800169,0,2,2,3
C103483511,1,0,1,5
C4083263,0,4,4,5
C1217007,1,0,1,2
M1045046847,0,1,1,2
C1559714086,1,0,1,4
C1864943711,0,3,3,4
C109846666,1,0,1,2
M1994337481,0,1,1,2
C1245729476,1,0,1,2
M632027364,0,1,1,2
C1299833458,1,0,1,2
C1817619626,0,1,1,2
C376068989,1,0,1,2
M1117701647,0,1,1,2
C1965186667,1,0,1,2
M666436118,0,1,1,2
C1233635498,1,0,1,4
C1667842955,0,3,3,4
C1063742446,1,0,1,2
M1299009178,0,1,1,2
C429956476,1,0,1,2
M1398643952,0,1,1,2
C1483105591,1,0,1,2
C532804043,0,1,1,2
C609764432,1,0,1,2
M347000537,0,1,1,2
C623983825,1,0,1,2
M767560827,0,1,1,2
C1296390600,1,0,1,3
C203735676,0,2,2,3
C1741201742,1,0,1,2
M717104782,0,1,1,2
C1506410293,1,0,1,2
C836903727,0,1,1,2
C621024017,1,0,1,2
C55938931,0,1,1,2
C1274268347,1,0,1,2
C1430543710,0,1,1,2
C462695952,1,0,1,2
C315161875,0,1,1,2
C386635198,1,0,1,2
C623503358,0,1,1,2
C954200212,1,0,1,4
C877277085,0,3,3,4
C585202294,1,0,1,2
C610837419,0,1,1,2
C1340160039,1,0,1,2
C848292007,0,1,1,2
C1127215034,1,0,1,2
M1967813045,0,1,1,2
C1268829282,1,0,1,2
M509511895,0,1,1,2
C1295327703,1,0,1,2
M1454306842,0,1,1,2
C124093913,1,0,1,2
M236380448,0,1,1,2
C637957920,1,0,1,2
M1862272241,0,1,1,2
C881037104,1,0,1,4
C1102456557,0,3,3,4
C1495450640,1,0,1,5
C1568538856,0,4,4,5
C1344953998,1,0,1,4
C517862958,0,3,3,4
C1461463577,1,0,1,2
M1655432737,0,1,1,2
C60034474,1,0,1,2
M1128177813,0,1,1,2
C1288473590,1,0,1,2
C832812081,0,1,1,2
C1116091809,1,0,1,2
M1134990203,0,1,1,2
C350449781,1,0,1,2
M1348214865,0,1,1,2
C2026505459,1,0,1,3
C1604920106,0,2,2,3
C567587096,1,0,1,5
C9874612,0,4,4,5
C1144525215,1,0,1,3
C1583635380,0,2,2,3
C1930596174,1,0,1,2
C1930946430,0,1,1,2
C1618863822,1,0,1,2
C1293851519,0,1,1,2
C1792324708,1,0,1,2
M1207431887,0,1,1,2
C1719409828,1,0,1,4
C1121929205,0,3,3,4
C1811800344,1,0,1,3
C97261318,0,2,2,3
C1873367958,1,0,1,3
C1637201603,0,2,2,3
C1212058932,1,0,1,2
M1939241887,0,1,1,2
C947691774,1,0,1,2
M751182210,0,1,1,2
C1034602882,1,0,1,2
M703455353,0,1,1,2
C1280643460,1,0,1,4
C1261771408,0,3,3,4
C1479566261,1,0,1,2
C352206686,0,1,1,2
C1151728006,1,0,1,3
C765127181,0,2,2,3
C2035127601,1,0,1,2
M297655923,0,1,1,2
C1687143541,1,0,1,2
M95427430,0,1,1,2
C1009250621,1,0,1,2
C72220099,0,1,1,2
C1360761487,1,0,1,3
C2080099779,0,2,2,3
C660096183,1,0,1,2
M1626168174,0,1,1,2
C1143276839,1,0,1,4
C403130913,0,3,3,4
C1363564844,1,0,1,2
M554123216,0,1,1,2
C755980216,1,0,1,2
C1368955366,0,1,1,2
C1387993569,1,0,1,4
C451731094,0,3,3,4
C704340091,1,0,1,2
M1988008393,0,1,1,2
C1390459460,1,0,1,2
C767064170,0,1,1,2
C1573104468,1,0,1,2
C1971947111,0,1,1,2
C878569742,1,0,1,2
C1691115286,0,1,1,2
C428185794,1,0,1,2
C521979785,0,1,1,2
C187211885,1,0,1,2
C2012418809,0,1,1,2
C1387236985,1,0,1,3
C975910370,0,2,2,3
C612627216,1,0,1,2
M724525068,0,1,1,2
C141309778,1,0,1,3
C1449702309,0,2,2,3
C224868326,1,0,1,2
C1867125212,0,1,1,2
C1707134322,1,0,1,2
C1675553530,0,1,1,2
C1407934575,1,0,1,2
C1243859034,0,1,1,2
C845225874,1,0,1,2
M2029635494,0,1,1,2
C80308678,1,0,1,2
M142290929,0,1,1,2
C1056958493,1,0,1,2
C1461150638,0,1,1,2
C485981082,1,0,1,3
C923350226,0,2,2,3
C2061974333,1,0,1,2
C124679985,0,1,1,2
C251085802,1,0,1,2
M940387582,0,1,1,2
C1021100132,1,0,1,2
C1134760074,0,1,1,2
C1436202324,1,0,1,2
C2121672304,0,1,1,2
C1039011344,1,0,1,2
M1034435203,0,1,1,2
C636995181,1,0,1,3
C1238735674,0,2,2,3
C351014542,1,0,1,2
C215311903,0,1,1,2
C1477071345,1,0,1,2
C1288964156,0,1,1,2
C1078209136,1,0,1,3
C591953123,0,2,2,3
C1164296510,1,0,1,2
M405800689,0,1,1,2
C1386504158,1,0,1,4
C934058959,0,3,3,4
C1423407775,1,0,1,2
C904084530,0,1,1,2
C1733207981,1,0,1,3
C988279892,0,2,2,3
C1343048011,1,0,1,4
C1986647970,0,3,3,4
C197380205,1,0,1,2
M505397400,0,1,1,2
C1131453099,1,0,1,2
M1404110191,0,1,1,2
C26814107,1,0,1,2
C522619081,0,1,1,2
C1226399379,1,0,1,2
M248903664,0,1,1,2
C871057744,1,0,1,2
C944801956,0,1,1,2
C1515750181,1,0,1,2
C2013169541,0,1,1,2
C1250668520,1,0,1,2
C385864067,0,1,1,2
C1273560176,1,0,1,2
C1860944563,0,1,1,2
C425038418,1,0,1,7
C168874772,0,6,6,7
C626936838,1,0,1,2
M1372563019,0,1,1,2
C2032832581,1,0,1,2
C2017937628,0,1,1,2
C1523434016,1,0,1,2
C695235200,0,1,1,2
C584261404,1,0,1,2
C166243665,0,1,1,2
C489058843,1,0,1,3
C1494859130,0,2,2,3
C282678300,1,0,1,2
M1187155534,0,1,1,2
C1185547992,1,0,1,3
C1547202245,0,2,2,3
C1502174698,1,0,1,2
M1198426298,0,1,1,2
C1170457575,1,0,1,2
C1422727866,0,1,1,2
C1232628334,1,0,1,2
M1236920019,0,1,1,2
C1611197519,1,0,1,2
M1975523642,0,1,1,2
C1820166304,1,0,1,2
C1775809491,0,1,1,2
C1375932100,1,0,1,2
M655602001,0,1,1,2
C1672177335,1,0,1,5
C2121831742,0,4,4,5
C320540298,1,0,1,2
M1238329933,0,1,1,2
C502803758,1,0,1,2
M2030721506,0,1,1,2
C721463239,1,0,1,2
M74458893,0,1,1,2
C1563084786,1,0,1,2
M334788005,0,1,1,2
C66083516,1,0,1,2
M1874092314,0,1,1,2
C759624030,1,0,1,3
C565550254,0,2,2,3
C176649818,1,0,1,2
M1331578374,0,1,1,2
C1428268466,1,0,1,2
C1793851024,0,1,1,2
C137191797,1,0,1,2
C1389965148,0,1,1,2
C348597707,1,0,1,4
C165753282,0,3,3,4
C688768491,1,0,1,2
M1795311891,0,1,1,2
C820833997,1,0,1,4
C64453840,0,3,3,4
C66542908,1,0,1,2
M1459510436,0,1,1,2
C679060526,1,0,1,3
C1538882286,0,2,2,3
C1584966889,1,0,1,2
M603628538,0,1,1,2
C680062523,1,0,1,2
M585375996,0,1,1,2
C449186636,1,0,1,2
C1158900486,0,1,1,2
C484812858,1,0,1,5
C2069269386,0,4,4,5
C2060837063,1,0,1,2
C957639902,0,1,1,2
C2105895101,1,0,1,2
C1165441509,0,1,1,2
C2094421184,1,0,1,2
M1762969862,0,1,1,2
C1311336999,1,0,1,2
C485423874,0,1,1,2
C622064753,1,0,1,2
C853359906,0,1,1,2
C903444213,1,0,1,3
C805432566,0,2,2,3
C452382641,1,0,1,2
C664816184,0,1,1,2
C2034265661,1,0,1,2
M1984743975,0,1,1,2
C148286868,1,0,1,2
C716691592,0,1,1,2
C907728986,1,0,1,2
C1944894800,0,1,1,2
C814253081,1,0,1,5
C1500998589,0,4,4,5
C397527070,1,0,1,2
M2101782069,0,1,1,2
C2086171951,1,0,1,3
C1592030215,0,2,2,3
C77257572,1,0,1,2
C787781118,0,1,1,2
C1958601185,1,0,1,2
C1023969368,0,1,1,2
C1246751985,1,0,1,2
C1041898220,0,1,1,2
C835177002,1,0,1,2
C1097151528,0,1,1,2
C1154661403,1,0,1,2
M1242381686,0,1,1,2
C1110455571,1,0,1,2
C1071848863,0,1,1,2
C1701934694,1,0,1,3
C1598555599,0,2,2,3
C1064348677,1,0,1,3
C1023560928,0,2,2,3
C1545463754,1,0,1,4
C622870452,0,3,3,4
C1446504054,1,0,1,2
M16282130,0,1,1,2
C684154463,1,0,1,2
C201839570,0,1,1,2
C778649018,1,0,1,2
C1891715634,0,1,1,2
C781383446,1,0,1,2
M896086023,0,1,1,2
C772345783,1,0,1,2
M2111683444,0,1,1,2
C301142793,1,0,1,3
C681107717,0,2,2,3
C479278956,1,0,1,3
C573097287,0,2,2,3
C1222385491,1,0,1,7
C453211571,0,6,6,7
C680996757,1,0,1,2
M1202888243,0,1,1,2
C1505711421,1,0,1,4
C870958103,0,3,3,4
C356198335,1,0,1,5
C75474253,0,4,4,5
C1524177,1,0,1,2
M1254577822,0,1,1,2
C1263273010,1,0,1,4
C1224081716,0,3,3,4
C336292838,1,0,1,4
C2010728617,0,3,3,4
C1245211602,1,0,1,2
M1786154890,0,1,1,2
C869834696,1,0,1,2
C7760531,0,1,1,2
C1278507213,1,0,1,2
C1794985101,0,1,1,2
C743822679,1,0,1,2
C1534408959,0,1,1,2
C529683703,1,0,1,2
C1995685086,0,1,1,2
C22437086,1,0,1,2
M1050573533,0,1,1,2
C1611058489,1,0,1,2
C794358930,0,1,1,2
C865976802,1,0,1,4
C314337396,0,3,3,4
C1423098298,1,0,1,2
M1743262986,0,1,1,2
C1151241925,1,0,1,2
M790365881,0,1,1,2
C807640787,1,0,1,2
C1831256584,0,1,1,2
C1825029150,1,0,1,2
C884175856,0,1,1,2
C1052744794,1,0,1,2
M856534679,0,1,1,2
C1009867558,1,0,1,2
M1961451993,0,1,1,2
C1975374552,1,0,1,2
C1417835621,0,1,1,2
C1073250576,1,0,1,2
C1532048443,0,1,1,2
C1904615049,1,0,1,2
C812877271,0,1,1,2
C1987542208,1,0,1,2
M19559947,0,1,1,2
C1558234184,1,0,1,3
C1833231741,0,2,2,3
C473125802,1,0,1,2
M1401192261,0,1,1,2
C1020676450,1,0,1,3
C225066163,0,2,2,3
C1091035709,1,0,1,2
M1219660595,0,1,1,2
C1220505915,1,0,1,5
C845355332,0,4,4,5
C1718185508,1,0,1,3
C1765616902,0,2,2,3
C928327430,1,0,1,4
C169326476,0,3,3,4
C1112254209,1,0,1,3
C1776207726,0,2,2,3
C1666038593,1,0,1,2
M127990292,0,1,1,2
C890674813,1,0,1,2
C1938007896,0,1,1,2
C335057876,1,0,1,2
C1278722780,0,1,1,2
C2009514257,1,0,1,2
M601087520,0,1,1,2
C283919359,1,0,1,2
C783408770,0,1,1,2
C1160392233,1,0,1,2
C375207823,0,1,1,2
C1568924384,1,0,1,3
C1010279436,0,2,2,3
C803012192,1,0,1,2
C2088146489,0,1,1,2
C1603693549,1,0,1,2
M630119081,0,1,1,2
C966800981,1,0,1,2
C133879537,0,1,1,2
C1922377125,1,0,1,2
C1765365986,0,1,1,2
C1261746831,1,0,1,2
C1708918417,0,1,1,2
C348233249,1,0,1,2
C2030416267,0,1,1,2
C325517621,1,0,1,2
M1458005166,0,1,1,2
C1582490434,1,0,1,2
M1078050780,0,1,1,2
C1796020538,1,0,1,2
M1752870897,0,1,1,2
C958273270,1,0,1,3
C898232365,0,2,2,3
C484904026,1,0,1,2
C1036281200,0,1,1,2
C1643410812,1,0,1,2
M1113193172,0,1,1,2
C799359975,1,0,1,2
C1461666566,0,1,1,2
C1127218122,1,0,1,2
M1236368246,0,1,1,2
C327968675,1,0,1,3
C1281055286,0,2,2,3
C1870187274,1,0,1,2
M1466188419,0,1,1,2
C1381665628,1,0,1,2
M1614509310,0,1,1,2
C1131402523,1,0,1,2
M250666917,0,1,1,2
C494256374,1,0,1,2
M615269591,0,1,1,2
C2126971661,1,0,1,6
C627509762,0,5,5,6
C1451191301,1,0,1,2
M1344689686,0,1,1,2
C1543275743,1,0,1,6
C139422286,0,5,5,6
C559212856,1,0,1,2
C310164481,0,1,1,2
C395615978,1,0,1,3
C677216061,0,2,2,3
C1071419155,1,0,1,2
M279900842,0,1,1,2
C886783925,1,0,1,3
C132676069,0,2,2,3
C749713553,1,0,1,2
M391493109,0,1,1,2
C643919206,1,0,1,2
M388163040,0,1,1,2
C826706971,1,0,1,3
C1434976223,0,2,2,3
C349939670,1,0,1,2
M1751570991,0,1,1,2
C276800386,1,0,1,2
C979759312,0,1,1,2
C149700008,1,0,1,2
C1334234817,0,1,1,2
C978611121,1,0,1,2
C1265325259,0,1,1,2
