step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
9,CASH_OUT,151752.56,C479048254,0.0,0.0,C839288013,401089.37,53747.1,0,0
13,PAYMENT,18526.89,C299177093,24528.0,6001.11,M448789910,0.0,0.0,0,0
9,PAYMENT,1617.34,C1550377597,0.0,0.0,M67565988,0.0,0.0,0,0
7,CASH_OUT,14507.3,C840915526,168079.14,153571.84,C1825174365,198503.0,6657580.62,0,0
8,CASH_OUT,243891.24,C782521433,0.0,0.0,C849038219,2319895.36,1337271.15,0,0
12,CASH_OUT,566283.22,C692293906,42839.0,0.0,C2015430073,11487.0,683324.86,0,0
13,CASH_IN,251133.41,C638991630,0.0,251133.41,C184224366,691528.9,150277.25,0,0
11,CASH_OUT,310605.88,C767485659,0.0,0.0,C615345603,815523.31,1126129.19,0,0
8,PAYMENT,4204.43,C1105164812,101790.16,97585.72,M1921059756,0.0,0.0,0,0
12,PAYMENT,4944.58,C1216274609,19377.0,14432.42,M1301142576,0.0,0.0,0,0
9,CASH_OUT,454840.13,C1110916204,10800.0,0.0,C1567520676,146598.17,1010401.53,0,0
11,PAYMENT,8430.77,C2093345092,0.0,0.0,M2078979608,0.0,0.0,0,0
12,CASH_OUT,142678.95,C1226232478,0.0,0.0,C863802447,9922553.47,10065232.41,0,0
10,CASH_OUT,436975.56,C371305793,737.0,0.0,C422770108,1239257.69,2008698.15,0,0
11,PAYMENT,4268.54,C1494793092,0.0,0.0,M399949563,0.0,0.0,0,0
12,CASH_OUT,61781.49,C447449976,0.0,0.0,C4995053,209990.4,188283.42,0,0
12,CASH_OUT,30196.63,C1859515543,1543.4,0.0,C223031720,1229152.25,1259348.88,0,0
13,CASH_IN,52981.02,C877109545,20199.0,73180.02,C931967952,0.0,0.0,0,0
9,PAYMENT,14349.73,C1955896851,9997.03,0.0,M1921055727,0.0,0.0,0,0
13,PAYMENT,40915.17,C832774832,196665.41,155750.24,M675414145,0.0,0.0,0,0
12,CASH_OUT,110397.16,C429315735,11524.0,0.0,C4692721,0.0,646710.07,0,0
11,CASH_OUT,206860.38,C1490370309,199977.0,0.0,C579203723,567722.03,774582.41,0,0
9,PAYMENT,26701.37,C664163251,98765.18,72063.81,M1210400908,0.0,0.0,0,0
11,CASH_OUT,152425.59,C1983327772,3059125.75,2906700.16,C1777900513,631259.49,783685.09,0,0
10,CASH_IN,134133.07,C568599508,4764950.51,4899083.58,C1136186114,1539693.95,1405560.88,0,0
12,PAYMENT,14848.74,C1804100701,0.0,0.0,M1400909907,0.0,0.0,0,0
10,PAYMENT,3912.29,C123731358,0.0,0.0,M505768485,0.0,0.0,0,0
13,CASH_IN,50550.67,C26969265,1787178.14,1837728.81,C824019285,1529523.4,1478972.73,0,0
13,PAYMENT,20734.0,C1396102371,0.0,0.0,M375913227,0.0,0.0,0,0
13,CASH_IN,508853.02,C646191520,256648.49,765501.52,C874695772,473325.84,0.0,0,0
11,TRANSFER,806735.29,C1705970177,52254.0,0.0,C61758525,72568.0,960621.01,0,0
9,CASH_OUT,44753.13,C612975067,0.0,0.0,C497734268,114930.48,828146.6,0,0
9,CASH_OUT,253678.78,C569643496,9993.0,0.0,C79588333,0.0,82897.7,0,0
10,PAYMENT,5343.12,C670115997,0.0,0.0,M1361428091,0.0,0.0,0,0
9,CASH_IN,105704.04,C1420698632,4458343.0,4564047.05,C406340235,838908.51,817920.72,0,0
8,CASH_OUT,127608.29,C189316648,76436.0,0.0,C1453795463,0.0,194708.66,0,0
9,CASH_OUT,289800.06,C2101462479,63868.0,0.0,C834304043,69463.0,786410.22,0,0
11,CASH_IN,138013.92,C1223850121,5042.0,143055.92,C908043384,1556902.75,1700081.58,0,0
9,CASH_OUT,155568.41,C291951000,252631.38,97062.97,C1759919932,83853.55,362094.06,0,0
13,PAYMENT,43617.09,C2005808081,193.0,0.0,M968848803,0.0,0.0,0,0
8,CASH_OUT,230813.19,C267350028,82678.0,0.0,C1725025770,78227.0,0.0,0,0
11,CASH_OUT,318604.4,C1873360592,167084.0,0.0,C1704995150,0.0,318604.4,0,0
12,PAYMENT,4809.22,C18503508,0.0,0.0,M874705076,0.0,0.0,0,0
9,PAYMENT,16061.52,C930260609,1146751.92,1130690.4,M409253068,0.0,0.0,0,0
12,DEBIT,77582.97,C1971170605,19811.0,0.0,C1975794590,332002.15,409585.12,0,0
8,PAYMENT,7007.16,C860234846,0.0,0.0,M783517025,0.0,0.0,0,0
9,CASH_OUT,173065.87,C1370690469,560691.34,387625.47,C589951302,1944271.08,1332204.24,0,0
9,PAYMENT,6749.05,C1830865612,101295.0,94545.95,M288770496,0.0,0.0,0,0
11,CASH_IN,129025.82,C1212075132,6594279.78,6723305.6,C2075280061,4310492.8,4181466.99,0,0
7,PAYMENT,1657.89,C1650164347,96932.98,95275.08,M908888201,0.0,0.0,0,0
